PHASE 2 — ACTUATOR MODELING LOG
Input (Command) vs Output (Actual Angle)
=======================================================

TEST 1: 0° → 90°
    Time |    Command |     Actual |    Error
---------------------------------------------
   0.010 |     90.000 |      0.180 |   89.820
   0.020 |     90.000 |      0.360 |   89.640
   0.030 |     90.000 |      0.540 |   89.460
   0.040 |     90.000 |      0.720 |   89.280
   0.050 |     90.000 |      0.900 |   89.100
   0.060 |     90.000 |      1.080 |   88.920
   0.070 |     90.000 |      1.260 |   88.740
   0.080 |     90.000 |      1.440 |   88.560
   0.090 |     90.000 |      1.620 |   88.380
   0.100 |     90.000 |      1.800 |   88.200
   0.110 |     90.000 |      1.980 |   88.020
   0.120 |     90.000 |      2.160 |   87.840
   0.130 |     90.000 |      2.340 |   87.660
   0.140 |     90.000 |      2.520 |   87.480
   0.150 |     90.000 |      2.700 |   87.300
   0.160 |     90.000 |      2.880 |   87.120
   0.170 |     90.000 |      3.060 |   86.940
   0.180 |     90.000 |      3.240 |   86.760
   0.190 |     90.000 |      3.420 |   86.580
   0.200 |     90.000 |      3.600 |   86.400
   0.210 |     90.000 |      3.780 |   86.220
   0.220 |     90.000 |      3.960 |   86.040
   0.230 |     90.000 |      4.140 |   85.860
   0.240 |     90.000 |      4.320 |   85.680
   0.250 |     90.000 |      4.500 |   85.500
   0.260 |     90.000 |      4.680 |   85.320
   0.270 |     90.000 |      4.860 |   85.140
   0.280 |     90.000 |      5.040 |   84.960
   0.290 |     90.000 |      5.220 |   84.780
   0.300 |     90.000 |      5.400 |   84.600
   0.310 |     90.000 |      5.580 |   84.420
   0.320 |     90.000 |      5.760 |   84.240
   0.330 |     90.000 |      5.940 |   84.060
   0.340 |     90.000 |      6.120 |   83.880
   0.350 |     90.000 |      6.300 |   83.700
   0.360 |     90.000 |      6.480 |   83.520
   0.370 |     90.000 |      6.660 |   83.340
   0.380 |     90.000 |      6.840 |   83.160
   0.390 |     90.000 |      7.020 |   82.980
   0.400 |     90.000 |      7.200 |   82.800
   0.410 |     90.000 |      7.380 |   82.620
   0.420 |     90.000 |      7.560 |   82.440
   0.430 |     90.000 |      7.740 |   82.260
   0.440 |     90.000 |      7.920 |   82.080
   0.450 |     90.000 |      8.100 |   81.900
   0.460 |     90.000 |      8.280 |   81.720
   0.470 |     90.000 |      8.460 |   81.540
   0.480 |     90.000 |      8.640 |   81.360
   0.490 |     90.000 |      8.820 |   81.180
   0.500 |     90.000 |      9.000 |   81.000
   0.510 |     90.000 |      9.180 |   80.820
   0.520 |     90.000 |      9.360 |   80.640
   0.530 |     90.000 |      9.540 |   80.460
   0.540 |     90.000 |      9.720 |   80.280
   0.550 |     90.000 |      9.900 |   80.100
   0.560 |     90.000 |     10.080 |   79.920
   0.570 |     90.000 |     10.260 |   79.740
   0.580 |     90.000 |     10.440 |   79.560
   0.590 |     90.000 |     10.620 |   79.380
   0.600 |     90.000 |     10.800 |   79.200
   0.610 |     90.000 |     10.980 |   79.020
   0.620 |     90.000 |     11.160 |   78.840
   0.630 |     90.000 |     11.340 |   78.660
   0.640 |     90.000 |     11.520 |   78.480
   0.650 |     90.000 |     11.700 |   78.300
   0.660 |     90.000 |     11.880 |   78.120
   0.670 |     90.000 |     12.060 |   77.940
   0.680 |     90.000 |     12.240 |   77.760
