PHASE 3 - MECHANICAL RESPONSE LOG
Inertia + Friction Effects
============================================================

MODEL A: No friction
Damping coefficient: 0.0
Moment of inertia  : 0.0480 kg.m2
    Time |   Command |     Angle |   Velocity |    Torque
-------------------------------------------------------
   0.010 |    90.000 |     0.013 |      0.000 |    6.1456
   0.020 |    90.000 |     0.026 |      1.280 |    6.1456
   0.030 |    90.000 |     0.051 |      2.561 |    6.1456
   0.040 |    90.000 |     0.090 |      3.841 |    6.1456
   0.050 |    90.000 |     0.141 |      5.121 |    6.1456
   0.060 |    90.000 |     0.205 |      6.402 |    6.1456
   0.070 |    90.000 |     0.282 |      7.682 |    6.1456
   0.080 |    90.000 |     0.371 |      8.962 |    6.1456
   0.090 |    90.000 |     0.474 |     10.243 |    6.1456
   0.100 |    90.000 |     0.589 |     11.523 |    6.1457
   0.110 |    90.000 |     0.717 |     12.803 |    6.1457
   0.120 |    90.000 |     0.858 |     14.084 |    6.1458
   0.130 |    90.000 |     1.011 |     15.364 |    6.1459
   0.140 |    90.000 |     1.178 |     16.645 |    6.1460
   0.150 |    90.000 |     1.357 |     17.925 |    6.1461
   0.160 |    90.000 |     1.537 |     18.000 |    6.1463
   0.170 |    90.000 |     1.717 |     18.000 |    6.1389
   0.180 |    90.000 |     1.897 |     18.000 |    6.1218
   0.190 |    90.000 |     2.077 |     18.000 |    6.1048
   0.200 |    90.000 |     2.257 |     18.000 |    6.0877
   0.210 |    90.000 |     2.437 |     18.000 |    6.0707
   0.220 |    90.000 |     2.617 |     18.000 |    6.0538
   0.230 |    90.000 |     2.797 |     18.000 |    6.0368
   0.240 |    90.000 |     2.977 |     18.000 |    6.0199
   0.250 |    90.000 |     3.157 |     18.000 |    6.0030
   0.260 |    90.000 |     3.337 |     18.000 |    5.9861
   0.270 |    90.000 |     3.517 |     18.000 |    5.9692
   0.280 |    90.000 |     3.697 |     18.000 |    5.9524
   0.290 |    90.000 |     3.877 |     18.000 |    5.9356
   0.300 |    90.000 |     4.057 |     18.000 |    5.9188
   0.310 |    90.000 |     4.237 |     18.000 |    5.9020
   0.320 |    90.000 |     4.417 |     18.000 |    5.8853
   0.330 |    90.000 |     4.597 |     18.000 |    5.8685
   0.340 |    90.000 |     4.777 |     18.000 |    5.8518
   0.350 |    90.000 |     4.957 |     18.000 |    5.8352
   0.360 |    90.000 |     5.137 |     18.000 |    5.8185
   0.370 |    90.000 |     5.317 |     18.000 |    5.8019
   0.380 |    90.000 |     5.497 |     18.000 |    5.7853
   0.390 |    90.000 |     5.677 |     18.000 |    5.7687
   0.400 |    90.000 |     5.857 |     18.000 |    5.7521
   0.410 |    90.000 |     6.037 |     18.000 |    5.7356
   0.420 |    90.000 |     6.217 |     18.000 |    5.7191
   0.430 |    90.000 |     6.397 |     18.000 |    5.7026
   0.440 |    90.000 |     6.577 |     18.000 |    5.6861
   0.450 |    90.000 |     6.757 |     18.000 |    5.6697
   0.460 |    90.000 |     6.937 |     18.000 |    5.6533
   0.470 |    90.000 |     7.117 |     18.000 |    5.6369
   0.480 |    90.000 |     7.297 |     18.000 |    5.6205
   0.490 |    90.000 |     7.477 |     18.000 |    5.6041
   0.500 |    90.000 |     7.657 |     18.000 |    5.5878
   0.510 |    90.000 |     7.837 |     18.000 |    5.5715
   0.520 |    90.000 |     8.017 |     18.000 |    5.5552
   0.530 |    90.000 |     8.197 |     18.000 |    5.5390
   0.540 |    90.000 |     8.377 |     18.000 |    5.5227
   0.550 |    90.000 |     8.557 |     18.000 |    5.5065
   0.560 |    90.000 |     8.737 |     18.000 |    5.4903
   0.570 |    90.000 |     8.917 |     18.000 |    5.4742
   0.580 |    90.000 |     9.097 |     18.000 |    5.4580
   0.590 |    90.000 |     9.277 |     18.000 |    5.4419
   0.600 |    90.000 |     9.457 |     18.000 |    5.4258
   0.610 |    90.000 |     9.637 |     18.000 |    5.4097
   0.620 |    90.000 |     9.817 |     18.000 |    5.3937
   0.630 |    90.000 |     9.997 |     18.000 |    5.3776
   0.640 |    90.000 |    10.177 |     18.000 |    5.3616
   0.650 |    90.000 |    10.357 |     18.000 |    5.3456
   0.660 |    90.000 |    10.537 |     18.000 |    5.3297
   0.670 |    90.000 |    10.717 |     18.000 |    5.3137
   0.680 |    90.000 |    10.897 |     18.000 |    5.2978
   0.690 |    90.000 |    11.077 |     18.000 |    5.2819
   0.700 |    90.000 |    11.257 |     18.000 |    5.2661
   0.710 |    90.000 |    11.437 |     18.000 |    5.2502
   0.720 |    90.000 |    11.617 |     18.000 |    5.2344
   0.730 |    90.000 |    11.797 |     18.000 |    5.2186
   0.740 |    90.000 |    11.977 |     18.000 |    5.2028
   0.750 |    90.000 |    12.157 |     18.000 |    5.1870
   0.760 |    90.000 |    12.337 |     18.000 |    5.1713
   0.770 |    90.000 |    12.517 |     18.000 |    5.1556
   0.780 |    90.000 |    12.697 |     18.000 |    5.1399
   0.790 |    90.000 |    12.877 |     18.000 |    5.1242
   0.800 |    90.000 |    13.057 |     18.000 |    5.1086
   0.810 |    90.000 |    13.237 |     18.000 |    5.0930
   0.820 |    90.000 |    13.417 |     18.000 |    5.0774
   0.830 |    90.000 |    13.597 |     18.000 |    5.0618
   0.840 |    90.000 |    13.777 |     18.000 |    5.0463
   0.850 |    90.000 |    13.957 |     18.000 |    5.0307
   0.860 |    90.000 |    14.137 |     18.000 |    5.0152
   0.870 |    90.000 |    14.317 |     18.000 |    4.9997
   0.880 |    90.000 |    14.497 |     18.000 |    4.9843
   0.890 |    90.000 |    14.677 |     18.000 |    4.9688
   0.900 |    90.000 |    14.857 |     18.000 |    4.9534
   0.910 |    90.000 |    15.037 |     18.000 |    4.9380
   0.920 |    90.000 |    15.217 |     18.000 |    4.9227
   0.930 |    90.000 |    15.397 |     18.000 |    4.9073
   0.940 |    90.000 |    15.577 |     18.000 |    4.8920
   0.950 |    90.000 |    15.757 |     18.000 |    4.8767
   0.960 |    90.000 |    15.937 |     18.000 |    4.8614
   0.970 |    90.000 |    16.117 |     18.000 |    4.8461
   0.980 |    90.000 |    16.297 |     18.000 |    4.8309
   0.990 |    90.000 |    16.477 |     18.000 |    4.8157
   1.000 |    90.000 |    16.657 |     18.000 |    4.8005
   1.010 |    90.000 |    16.837 |     18.000 |    4.7853
   1.020 |    90.000 |    17.017 |     18.000 |    4.7702
   1.030 |    90.000 |    17.197 |     18.000 |    4.7550
   1.040 |    90.000 |    17.377 |     18.000 |    4.7399
   1.050 |    90.000 |    17.557 |     18.000 |    4.7248
   1.060 |    90.000 |    17.737 |     18.000 |    4.7098
   1.070 |    90.000 |    17.917 |     18.000 |    4.6948
   1.080 |    90.000 |    18.097 |     18.000 |    4.6797
   1.090 |    90.000 |    18.277 |     18.000 |    4.6647
   1.100 |    90.000 |    18.457 |     18.000 |    4.6498
   1.110 |    90.000 |    18.637 |     18.000 |    4.6348
   1.120 |    90.000 |    18.817 |     18.000 |    4.6199
   1.130 |    90.000 |    18.997 |     18.000 |    4.6050
   1.140 |    90.000 |    19.177 |     18.000 |    4.5901
   1.150 |    90.000 |    19.357 |     18.000 |    4.5752
   1.160 |    90.000 |    19.537 |     18.000 |    4.5604
   1.170 |    90.000 |    19.717 |     18.000 |    4.5456
   1.180 |    90.000 |    19.897 |     18.000 |    4.5308
   1.190 |    90.000 |    20.077 |     18.000 |    4.5160
   1.200 |    90.000 |    20.257 |     18.000 |    4.5013
   1.210 |    90.000 |    20.437 |     18.000 |    4.4865
   1.220 |    90.000 |    20.617 |     18.000 |    4.4718
   1.230 |    90.000 |    20.797 |     18.000 |    4.4571
   1.240 |    90.000 |    20.977 |     18.000 |    4.4425
   1.250 |    90.000 |    21.157 |     18.000 |    4.4278
   1.260 |    90.000 |    21.337 |     18.000 |    4.4132
   1.270 |    90.000 |    21.517 |     18.000 |    4.3986
   1.280 |    90.000 |    21.697 |     18.000 |    4.3840
   1.290 |    90.000 |    21.877 |     18.000 |    4.3695
   1.300 |    90.000 |    22.057 |     18.000 |    4.3549
   1.310 |    90.000 |    22.237 |     18.000 |    4.3404
   1.320 |    90.000 |    22.417 |     18.000 |    4.3259
   1.330 |    90.000 |    22.597 |     18.000 |    4.3115
   1.340 |    90.000 |    22.777 |     18.000 |    4.2970
   1.350 |    90.000 |    22.957 |     18.000 |    4.2826
   1.360 |    90.000 |    23.137 |     18.000 |    4.2682
   1.370 |    90.000 |    23.317 |     18.000 |    4.2538
   1.380 |    90.000 |    23.497 |     18.000 |    4.2394
   1.390 |    90.000 |    23.677 |     18.000 |    4.2251
   1.400 |    90.000 |    23.857 |     18.000 |    4.2108
