PHASE 4 - LOAD INTERACTION LOG
Effect of Payload on Joint Response
=================================================================

No load     (0.0 kg — baseline)
Load mass     : 0.0 kg
Total inertia : 0.0480 kg.m2
    Time |    Angle |   Velocity | Net Torque | Load Torque
------------------------------------------------------------
   0.010 |    0.013 |      0.000 |     6.1456 |      0.0000
   0.020 |    0.026 |      1.280 |     6.1456 |      0.0000
   0.030 |    0.051 |      2.547 |     6.0816 |      0.0000
   0.040 |    0.089 |      3.801 |     6.0182 |      0.0000
   0.050 |    0.140 |      5.042 |     5.9555 |      0.0000
   0.060 |    0.202 |      6.270 |     5.8935 |      0.0000
   0.070 |    0.277 |      7.485 |     5.8321 |      0.0000
   0.080 |    0.364 |      8.687 |     5.7714 |      0.0000
   0.090 |    0.463 |      9.877 |     5.7113 |      0.0000
   0.100 |    0.573 |     11.054 |     5.6518 |      0.0000
   0.110 |    0.695 |     12.220 |     5.5930 |      0.0000
   0.120 |    0.829 |     13.373 |     5.5348 |      0.0000
   0.130 |    0.974 |     14.514 |     5.4772 |      0.0000
   0.140 |    1.131 |     15.643 |     5.4203 |      0.0000
   0.150 |    1.298 |     16.760 |     5.3639 |      0.0000
   0.160 |    1.477 |     17.866 |     5.3082 |      0.0000
   0.170 |    1.657 |     18.000 |     5.2513 |      0.0000
   0.180 |    1.837 |     18.000 |     5.2275 |      0.0000
   0.190 |    2.017 |     18.000 |     5.2105 |      0.0000
   0.200 |    2.197 |     18.000 |     5.1934 |      0.0000
   0.210 |    2.377 |     18.000 |     5.1764 |      0.0000
   0.220 |    2.557 |     18.000 |     5.1594 |      0.0000
   0.230 |    2.737 |     18.000 |     5.1425 |      0.0000
   0.240 |    2.917 |     18.000 |     5.1255 |      0.0000
   0.250 |    3.097 |     18.000 |     5.1086 |      0.0000
   0.260 |    3.277 |     18.000 |     5.0917 |      0.0000
   0.270 |    3.457 |     18.000 |     5.0749 |      0.0000
   0.280 |    3.637 |     18.000 |     5.0580 |      0.0000
   0.290 |    3.817 |     18.000 |     5.0412 |      0.0000
   0.300 |    3.997 |     18.000 |     5.0244 |      0.0000
   0.310 |    4.177 |     18.000 |     5.0076 |      0.0000
   0.320 |    4.357 |     18.000 |     4.9909 |      0.0000
   0.330 |    4.537 |     18.000 |     4.9741 |      0.0000
   0.340 |    4.717 |     18.000 |     4.9574 |      0.0000
   0.350 |    4.897 |     18.000 |     4.9407 |      0.0000
   0.360 |    5.077 |     18.000 |     4.9241 |      0.0000
   0.370 |    5.257 |     18.000 |     4.9074 |      0.0000
   0.380 |    5.437 |     18.000 |     4.8908 |      0.0000
   0.390 |    5.617 |     18.000 |     4.8742 |      0.0000
   0.400 |    5.797 |     18.000 |     4.8577 |      0.0000
   0.410 |    5.977 |     18.000 |     4.8411 |      0.0000
   0.420 |    6.157 |     18.000 |     4.8246 |      0.0000
   0.430 |    6.337 |     18.000 |     4.8081 |      0.0000
   0.440 |    6.517 |     18.000 |     4.7916 |      0.0000
   0.450 |    6.697 |     18.000 |     4.7752 |      0.0000
   0.460 |    6.877 |     18.000 |     4.7588 |      0.0000
   0.470 |    7.057 |     18.000 |     4.7423 |      0.0000
   0.480 |    7.237 |     18.000 |     4.7260 |      0.0000
   0.490 |    7.417 |     18.000 |     4.7096 |      0.0000
   0.500 |    7.597 |     18.000 |     4.6933 |      0.0000
   0.510 |    7.777 |     18.000 |     4.6770 |      0.0000
   0.520 |    7.957 |     18.000 |     4.6607 |      0.0000
   0.530 |    8.137 |     18.000 |     4.6444 |      0.0000
   0.540 |    8.317 |     18.000 |     4.6282 |      0.0000
   0.550 |    8.497 |     18.000 |     4.6119 |      0.0000
   0.560 |    8.677 |     18.000 |     4.5957 |      0.0000
   0.570 |    8.857 |     18.000 |     4.5796 |      0.0000
   0.580 |    9.037 |     18.000 |     4.5634 |      0.0000
   0.590 |    9.217 |     18.000 |     4.5473 |      0.0000
   0.600 |    9.397 |     18.000 |     4.5312 |      0.0000
   0.610 |    9.577 |     18.000 |     4.5151 |      0.0000
   0.620 |    9.757 |     18.000 |     4.4990 |      0.0000
   0.630 |    9.937 |     18.000 |     4.4830 |      0.0000
   0.640 |   10.117 |     18.000 |     4.4670 |      0.0000
   0.650 |   10.297 |     18.000 |     4.4510 |      0.0000
   0.660 |   10.477 |     18.000 |     4.4350 |      0.0000
   0.670 |   10.657 |     18.000 |     4.4191 |      0.0000
   0.680 |   10.837 |     18.000 |     4.4031 |      0.0000
   0.690 |   11.017 |     18.000 |     4.3872 |      0.0000
   0.700 |   11.197 |     18.000 |     4.3714 |      0.0000
   0.710 |   11.377 |     18.000 |     4.3555 |      0.0000
