PHASE 7 - MASTER ANALYSIS LOG
Complete System Behavior — All Scenarios
=================================================================

SCENARIO: Ideal baseline
Final angle      : 91.401 deg
Final temperature: 25.0 C
Final performance: 1.000x
    Time |  Command |   Actual |    Error |   Velocity
-------------------------------------------------------
   0.010 |   90.000 |    0.013 |   89.987 |      0.000
   0.020 |   90.000 |    0.026 |   89.974 |      1.280
   0.030 |   90.000 |    0.051 |   89.949 |      2.547
   0.040 |   90.000 |    0.089 |   89.911 |      3.801
   0.050 |   90.000 |    0.140 |   89.860 |      5.042
   0.060 |   90.000 |    0.202 |   89.798 |      6.270
   0.070 |   90.000 |    0.277 |   89.723 |      7.485
   0.080 |   90.000 |    0.364 |   89.636 |      8.687
   0.090 |   90.000 |    0.463 |   89.537 |      9.877
   0.100 |   90.000 |    0.573 |   89.427 |     11.054
   0.110 |   90.000 |    0.695 |   89.305 |     12.220
   0.120 |   90.000 |    0.829 |   89.171 |     13.373
   0.130 |   90.000 |    0.974 |   89.026 |     14.514
   0.140 |   90.000 |    1.131 |   88.869 |     15.643
   0.150 |   90.000 |    1.298 |   88.702 |     16.760
   0.160 |   90.000 |    1.477 |   88.523 |     17.866
   0.170 |   90.000 |    1.657 |   88.343 |     18.000
   0.180 |   90.000 |    1.837 |   88.163 |     18.000
   0.190 |   90.000 |    2.017 |   87.983 |     18.000
   0.200 |   90.000 |    2.197 |   87.803 |     18.000
   0.210 |   90.000 |    2.377 |   87.623 |     18.000
   0.220 |   90.000 |    2.557 |   87.443 |     18.000
   0.230 |   90.000 |    2.737 |   87.263 |     18.000
   0.240 |   90.000 |    2.917 |   87.083 |     18.000
   0.250 |   90.000 |    3.097 |   86.903 |     18.000
   0.260 |   90.000 |    3.277 |   86.723 |     18.000
   0.270 |   90.000 |    3.457 |   86.543 |     18.000
   0.280 |   90.000 |    3.637 |   86.363 |     18.000
   0.290 |   90.000 |    3.817 |   86.183 |     18.000
   0.300 |   90.000 |    3.997 |   86.003 |     18.000
   0.310 |   90.000 |    4.177 |   85.823 |     18.000
   0.320 |   90.000 |    4.357 |   85.643 |     18.000
   0.330 |   90.000 |    4.537 |   85.463 |     18.000
   0.340 |   90.000 |    4.717 |   85.283 |     18.000
   0.350 |   90.000 |    4.897 |   85.103 |     18.000
   0.360 |   90.000 |    5.077 |   84.923 |     18.000
   0.370 |   90.000 |    5.257 |   84.743 |     18.000
   0.380 |   90.000 |    5.437 |   84.563 |     18.000
   0.390 |   90.000 |    5.617 |   84.383 |     18.000
   0.400 |   90.000 |    5.797 |   84.203 |     18.000
   0.410 |   90.000 |    5.977 |   84.023 |     18.000
   0.420 |   90.000 |    6.157 |   83.843 |     18.000
   0.430 |   90.000 |    6.337 |   83.663 |     18.000
   0.440 |   90.000 |    6.517 |   83.483 |     18.000
   0.450 |   90.000 |    6.697 |   83.303 |     18.000
   0.460 |   90.000 |    6.877 |   83.123 |     18.000
   0.470 |   90.000 |    7.057 |   82.943 |     18.000
   0.480 |   90.000 |    7.237 |   82.763 |     18.000
   0.490 |   90.000 |    7.417 |   82.583 |     18.000
   0.500 |   90.000 |    7.597 |   82.403 |     18.000
   0.510 |   90.000 |    7.777 |   82.223 |     18.000
   0.520 |   90.000 |    7.957 |   82.043 |     18.000
   0.530 |   90.000 |    8.137 |   81.863 |     18.000
   0.540 |   90.000 |    8.317 |   81.683 |     18.000
   0.550 |   90.000 |    8.497 |   81.503 |     18.000
   0.560 |   90.000 |    8.677 |   81.323 |     18.000
   0.570 |   90.000 |    8.857 |   81.143 |     18.000
   0.580 |   90.000 |    9.037 |   80.963 |     18.000
   0.590 |   90.000 |    9.217 |   80.783 |     18.000
   0.600 |   90.000 |    9.397 |   80.603 |     18.000
   0.610 |   90.000 |    9.577 |   80.423 |     18.000
   0.620 |   90.000 |    9.757 |   80.243 |     18.000
   0.630 |   90.000 |    9.937 |   80.063 |     18.000
   0.640 |   90.000 |   10.117 |   79.883 |     18.000
   0.650 |   90.000 |   10.297 |   79.703 |     18.000
   0.660 |   90.000 |   10.477 |   79.523 |     18.000
   0.670 |   90.000 |   10.657 |   79.343 |     18.000
   0.680 |   90.000 |   10.837 |   79.163 |     18.000
   0.690 |   90.000 |   11.017 |   78.983 |     18.000
   0.700 |   90.000 |   11.197 |   78.803 |     18.000
   0.710 |   90.000 |   11.377 |   78.623 |     18.000
   0.720 |   90.000 |   11.557 |   78.443 |     18.000
   0.730 |   90.000 |   11.737 |   78.263 |     18.000
   0.740 |   90.000 |   11.917 |   78.083 |     18.000
   0.750 |   90.000 |   12.097 |   77.903 |     18.000
   0.760 |   90.000 |   12.277 |   77.723 |     18.000
   0.770 |   90.000 |   12.457 |   77.543 |     18.000
   0.780 |   90.000 |   12.637 |   77.363 |     18.000
   0.790 |   90.000 |   12.817 |   77.183 |     18.000
   0.800 |   90.000 |   12.997 |   77.003 |     18.000
   0.810 |   90.000 |   13.177 |   76.823 |     18.000
   0.820 |   90.000 |   13.357 |   76.643 |     18.000
   0.830 |   90.000 |   13.537 |   76.463 |     18.000
   0.840 |   90.000 |   13.717 |   76.283 |     18.000
   0.850 |   90.000 |   13.897 |   76.103 |     18.000
   0.860 |   90.000 |   14.077 |   75.923 |     18.000
   0.870 |   90.000 |   14.257 |   75.743 |     18.000
   0.880 |   90.000 |   14.437 |   75.563 |     18.000
   0.890 |   90.000 |   14.617 |   75.383 |     18.000
   0.900 |   90.000 |   14.797 |   75.203 |     18.000
   0.910 |   90.000 |   14.977 |   75.023 |     18.000
   0.920 |   90.000 |   15.157 |   74.843 |     18.000
   0.930 |   90.000 |   15.337 |   74.663 |     18.000
   0.940 |   90.000 |   15.517 |   74.483 |     18.000
   0.950 |   90.000 |   15.697 |   74.303 |     18.000
   0.960 |   90.000 |   15.877 |   74.123 |     18.000
   0.970 |   90.000 |   16.057 |   73.943 |     18.000
   0.980 |   90.000 |   16.237 |   73.763 |     18.000
   0.990 |   90.000 |   16.417 |   73.583 |     18.000
