TASK 2 - PHASE 2: FORWARD KINEMATICS LOG
Hip Angle + Knee Angle -> Foot Position
======================================================================

SEQUENCE: Stand → Lift → Return
Step |    Hip° |   Knee° |   Foot X |   Foot Y |   Reach
-------------------------------------------------------
   1 |    0.00 |    0.00 |   0.9000 |   0.0000 |  0.9000
   2 |    3.00 |    2.25 |   0.8976 |   0.0628 |  0.8998
   3 |    6.00 |    4.50 |   0.8906 |   0.1252 |  0.8993
   4 |    9.00 |    6.75 |   0.8788 |   0.1868 |  0.8985
   5 |   12.00 |    9.00 |   0.8625 |   0.2473 |  0.8973
   6 |   15.00 |   11.25 |   0.8417 |   0.3063 |  0.8957
   7 |   18.00 |   13.50 |   0.8166 |   0.3635 |  0.8938
   8 |   21.00 |   15.75 |   0.7873 |   0.4185 |  0.8916
   9 |   24.00 |   18.00 |   0.7540 |   0.4710 |  0.8891
  10 |   27.00 |   20.25 |   0.7170 |   0.5207 |  0.8862
  11 |   30.00 |   22.50 |   0.6765 |   0.5673 |  0.8829
  12 |   33.00 |   24.75 |   0.6328 |   0.6106 |  0.8794
  13 |   36.00 |   27.00 |   0.5861 |   0.6503 |  0.8754
  14 |   39.00 |   29.25 |   0.5368 |   0.6862 |  0.8712
  15 |   42.00 |   31.50 |   0.4852 |   0.7181 |  0.8666
  16 |   45.00 |   33.75 |   0.4316 |   0.7459 |  0.8617
  17 |   48.00 |   36.00 |   0.3764 |   0.7694 |  0.8565
  18 |   51.00 |   38.25 |   0.3199 |   0.7885 |  0.8510
  19 |   54.00 |   40.50 |   0.2625 |   0.8033 |  0.8451
  20 |   57.00 |   42.75 |   0.2046 |   0.8136 |  0.8389
  21 |   60.00 |   45.00 |   0.1465 |   0.8194 |  0.8324
  22 |   60.00 |   45.00 |   0.1465 |   0.8194 |  0.8324
  23 |   57.00 |   42.75 |   0.2046 |   0.8136 |  0.8389
  24 |   54.00 |   40.50 |   0.2625 |   0.8033 |  0.8451
  25 |   51.00 |   38.25 |   0.3199 |   0.7885 |  0.8510
  26 |   48.00 |   36.00 |   0.3764 |   0.7694 |  0.8565
  27 |   45.00 |   33.75 |   0.4316 |   0.7459 |  0.8617
  28 |   42.00 |   31.50 |   0.4852 |   0.7181 |  0.8666
  29 |   39.00 |   29.25 |   0.5368 |   0.6862 |  0.8712
  30 |   36.00 |   27.00 |   0.5861 |   0.6503 |  0.8754
  31 |   33.00 |   24.75 |   0.6328 |   0.6106 |  0.8794
  32 |   30.00 |   22.50 |   0.6765 |   0.5673 |  0.8829
  33 |   27.00 |   20.25 |   0.7170 |   0.5207 |  0.8862
  34 |   24.00 |   18.00 |   0.7540 |   0.4710 |  0.8891
  35 |   21.00 |   15.75 |   0.7873 |   0.4185 |  0.8916
  36 |   18.00 |   13.50 |   0.8166 |   0.3635 |  0.8938
  37 |   15.00 |   11.25 |   0.8417 |   0.3063 |  0.8957
  38 |   12.00 |    9.00 |   0.8625 |   0.2473 |  0.8973
  39 |    9.00 |    6.75 |   0.8788 |   0.1868 |  0.8985
  40 |    6.00 |    4.50 |   0.8906 |   0.1252 |  0.8993
  41 |    3.00 |    2.25 |   0.8976 |   0.0628 |  0.8998
  42 |    0.00 |    0.00 |   0.9000 |   0.0000 |  0.9000

SEQUENCE: Knee Bend (Hip=30°)
Step |    Hip° |   Knee° |   Foot X |   Foot Y |   Reach
-------------------------------------------------------
   1 |   30.00 |    0.00 |   0.7794 |   0.4500 |  0.9000
   2 |   30.00 |    6.00 |   0.7566 |   0.4851 |  0.8988
   3 |   30.00 |   12.00 |   0.7303 |   0.5177 |  0.8951
   4 |   30.00 |   18.00 |   0.7007 |   0.5473 |  0.8891
   5 |   30.00 |   24.00 |   0.6681 |   0.5736 |  0.8806
   6 |   30.00 |   30.00 |   0.6330 |   0.5964 |  0.8697
   7 |   30.00 |   36.00 |   0.5957 |   0.6154 |  0.8565
   8 |   30.00 |   42.00 |   0.5566 |   0.6304 |  0.8410
   9 |   30.00 |   48.00 |   0.5162 |   0.6413 |  0.8232
  10 |   30.00 |   54.00 |   0.4748 |   0.6478 |  0.8032
  11 |   30.00 |   60.00 |   0.4330 |   0.6500 |  0.7810
  12 |   30.00 |   66.00 |   0.3912 |   0.6478 |  0.7568
  13 |   30.00 |   72.00 |   0.3498 |   0.6413 |  0.7305
  14 |   30.00 |   78.00 |   0.3094 |   0.6304 |  0.7023
  15 |   30.00 |   84.00 |   0.2703 |   0.6154 |  0.6722
  16 |   30.00 |   90.00 |   0.2330 |   0.5964 |  0.6403
  17 |   30.00 |   96.00 |   0.1979 |   0.5736 |  0.6068
  18 |   30.00 |  102.00 |   0.1654 |   0.5473 |  0.5717
  19 |   30.00 |  108.00 |   0.1358 |   0.5177 |  0.5352
  20 |   30.00 |  114.00 |   0.1094 |   0.4851 |  0.4973
  21 |   30.00 |  120.00 |   0.0866 |   0.4500 |  0.4583
  22 |   30.00 |  120.00 |   0.0866 |   0.4500 |  0.4583
  23 |   30.00 |  114.00 |   0.1094 |   0.4851 |  0.4973
  24 |   30.00 |  108.00 |   0.1358 |   0.5177 |  0.5352
  25 |   30.00 |  102.00 |   0.1654 |   0.5473 |  0.5717
  26 |   30.00 |   96.00 |   0.1979 |   0.5736 |  0.6068
  27 |   30.00 |   90.00 |   0.2330 |   0.5964 |  0.6403
  28 |   30.00 |   84.00 |   0.2703 |   0.6154 |  0.6722
  29 |   30.00 |   78.00 |   0.3094 |   0.6304 |  0.7023
  30 |   30.00 |   72.00 |   0.3498 |   0.6413 |  0.7305
  31 |   30.00 |   66.00 |   0.3912 |   0.6478 |  0.7568
  32 |   30.00 |   60.00 |   0.4330 |   0.6500 |  0.7810
  33 |   30.00 |   54.00 |   0.4748 |   0.6478 |  0.8032
  34 |   30.00 |   48.00 |   0.5162 |   0.6413 |  0.8232
  35 |   30.00 |   42.00 |   0.5566 |   0.6304 |  0.8410
  36 |   30.00 |   36.00 |   0.5957 |   0.6154 |  0.8565
  37 |   30.00 |   30.00 |   0.6330 |   0.5964 |  0.8697
  38 |   30.00 |   24.00 |   0.6681 |   0.5736 |  0.8806
  39 |   30.00 |   18.00 |   0.7007 |   0.5473 |  0.8891
  40 |   30.00 |   12.00 |   0.7303 |   0.5177 |  0.8951
  41 |   30.00 |    6.00 |   0.7566 |   0.4851 |  0.8988
  42 |   30.00 |    0.00 |   0.7794 |   0.4500 |  0.9000

SEQUENCE: Full Range Sweep
Step |    Hip° |   Knee° |   Foot X |   Foot Y |   Reach
-------------------------------------------------------
