TASK 2 - PHASE 3: COUPLED DYNAMICS LOG
Both joints simulated simultaneously with load tracking
===========================================================================

SCENARIO: Stand to Lift
   Time |    Hip° |   Knee° |   Hip Load |  Knee Load |   Hip Net |  Knee Net
----------------------------------------------------------------------
  0.010 |   0.125 |   0.180 |    9.5647N |    2.3544N |   2.4353N |   6.1456N
  0.020 |   0.250 |   0.360 |    9.5647N |    2.3543N |   2.4353N |   6.1457N
  0.030 |   0.375 |   0.540 |    9.5645N |    2.3541N |   2.4355N |   6.1459N
  0.040 |   0.500 |   0.720 |    9.5644N |    2.3539N |   2.4356N |   6.1461N
  0.050 |   0.625 |   0.900 |    9.5642N |    2.3536N |   2.4358N |   6.1464N
  0.060 |   0.750 |   1.080 |    9.5639N |    2.3532N |   2.4361N |   6.1468N
  0.070 |   0.875 |   1.260 |    9.5636N |    2.3528N |   2.4364N |   6.1472N
  0.080 |   1.000 |   1.440 |    9.5633N |    2.3523N |   2.4367N |   6.1477N
  0.090 |   1.125 |   1.620 |    9.5629N |    2.3517N |   2.4371N |   6.1483N
  0.100 |   1.250 |   1.800 |    9.5625N |    2.3511N |   2.4375N |   6.1489N
  0.110 |   1.375 |   1.980 |    9.5620N |    2.3504N |   2.4380N |   6.1496N
  0.120 |   1.500 |   2.160 |    9.5615N |    2.3496N |   2.4385N |   6.1504N
  0.130 |   1.625 |   2.340 |    9.5609N |    2.3488N |   2.4391N |   6.1512N
  0.140 |   1.750 |   2.520 |    9.5603N |    2.3479N |   2.4397N |   6.1521N
  0.150 |   1.875 |   2.700 |    9.5596N |    2.3469N |   2.4404N |   6.1531N
  0.160 |   2.000 |   2.880 |    9.5589N |    2.3459N |   2.4411N |   6.1541N
  0.170 |   2.125 |   3.060 |    9.5582N |    2.3448N |   2.4418N |   6.1552N
  0.180 |   2.250 |   3.240 |    9.5574N |    2.3436N |   2.4426N |   6.1564N
  0.190 |   2.375 |   3.420 |    9.5565N |    2.3424N |   2.4435N |   6.1576N
  0.200 |   2.500 |   3.600 |    9.5556N |    2.3411N |   2.4444N |   6.1589N
  0.210 |   2.625 |   3.780 |    9.5547N |    2.3397N |   2.4453N |   6.1603N
  0.220 |   2.750 |   3.960 |    9.5537N |    2.3383N |   2.4463N |   6.1617N
  0.230 |   2.875 |   4.140 |    9.5527N |    2.3368N |   2.4473N |   6.1632N
  0.240 |   3.000 |   4.320 |    9.5516N |    2.3352N |   2.4484N |   6.1648N
  0.250 |   3.125 |   4.500 |    9.5505N |    2.3336N |   2.4495N |   6.1664N
  0.260 |   3.250 |   4.680 |    9.5494N |    2.3319N |   2.4506N |   6.1681N
  0.270 |   3.375 |   4.860 |    9.5482N |    2.3301N |   2.4518N |   6.1699N
  0.280 |   3.500 |   5.040 |    9.5469N |    2.3283N |   2.4531N |   6.1717N
  0.290 |   3.625 |   5.220 |    9.5456N |    2.3264N |   2.4544N |   6.1736N
  0.300 |   3.750 |   5.400 |    9.5443N |    2.3244N |   2.4557N |   6.1756N
  0.310 |   3.875 |   5.580 |    9.5429N |    2.3224N |   2.4571N |   6.1776N
  0.320 |   4.000 |   5.760 |    9.5415N |    2.3203N |   2.4585N |   6.1797N
  0.330 |   4.125 |   5.940 |    9.5400N |    2.3182N |   2.4600N |   6.1818N
  0.340 |   4.250 |   6.120 |    9.5384N |    2.3159N |   2.4616N |   6.1841N
  0.350 |   4.375 |   6.300 |    9.5369N |    2.3137N |   2.4631N |   6.1863N
  0.360 |   4.500 |   6.480 |    9.5353N |    2.3113N |   2.4647N |   6.1887N
  0.370 |   4.625 |   6.660 |    9.5336N |    2.3089N |   2.4664N |   6.1911N
  0.380 |   4.750 |   6.840 |    9.5319N |    2.3064N |   2.4681N |   6.1936N
  0.390 |   4.875 |   7.020 |    9.5301N |    2.3038N |   2.4699N |   6.1962N
  0.400 |   5.000 |   7.200 |    9.5284N |    2.3012N |   2.4716N |   6.1988N
  0.410 |   5.125 |   7.380 |    9.5265N |    2.2985N |   2.4735N |   6.2015N
  0.420 |   5.250 |   7.560 |    9.5246N |    2.2958N |   2.4754N |   6.2042N
