TASK 2 - PHASE 4: COORDINATED MOTION LOG
Full leg motion sequences with foot trajectory
================================================================================

SEQUENCE: Step Cycle
  GTime |        Stage |     Hip |    Knee |   Foot X |   Foot Y |   HipLoad |  KneeLoad
--------------------------------------------------------------------------------
  0.010 |        STAND |    0.00 |    0.00 |   0.9000 |   0.0000 |   9.5648N |   2.3544N
  0.020 |        STAND |    0.00 |    0.00 |   0.9000 |   0.0000 |   9.5648N |   2.3544N
  0.030 |        STAND |    0.00 |    0.00 |   0.9000 |   0.0000 |   9.5648N |   2.3544N
  0.040 |        STAND |    0.00 |    0.00 |   0.9000 |   0.0000 |   9.5648N |   2.3544N
  0.050 |        STAND |    0.00 |    0.00 |   0.9000 |   0.0000 |   9.5648N |   2.3544N
  0.060 |        STAND |    0.00 |    0.00 |   0.9000 |   0.0000 |   9.5648N |   2.3544N
  0.070 |        STAND |    0.00 |    0.00 |   0.9000 |   0.0000 |   9.5648N |   2.3544N
  0.080 |        STAND |    0.00 |    0.00 |   0.9000 |   0.0000 |   9.5648N |   2.3544N
  0.090 |        STAND |    0.00 |    0.00 |   0.9000 |   0.0000 |   9.5648N |   2.3544N
  0.100 |        STAND |    0.00 |    0.00 |   0.9000 |   0.0000 |   9.5648N |   2.3544N
  0.110 |        STAND |    0.00 |    0.00 |   0.9000 |   0.0000 |   9.5648N |   2.3544N
  0.120 |        STAND |    0.00 |    0.00 |   0.9000 |   0.0000 |   9.5648N |   2.3544N
  0.130 |        STAND |    0.00 |    0.00 |   0.9000 |   0.0000 |   9.5648N |   2.3544N
  0.140 |        STAND |    0.00 |    0.00 |   0.9000 |   0.0000 |   9.5648N |   2.3544N
  0.150 |        STAND |    0.00 |    0.00 |   0.9000 |   0.0000 |   9.5648N |   2.3544N
  0.160 |        STAND |    0.00 |    0.00 |   0.9000 |   0.0000 |   9.5648N |   2.3544N
  0.170 |        STAND |    0.00 |    0.00 |   0.9000 |   0.0000 |   9.5648N |   2.3544N
  0.180 |        STAND |    0.00 |    0.00 |   0.9000 |   0.0000 |   9.5648N |   2.3544N
  0.190 |        STAND |    0.00 |    0.00 |   0.9000 |   0.0000 |   9.5648N |   2.3544N
  0.200 |        STAND |    0.00 |    0.00 |   0.9000 |   0.0000 |   9.5648N |   2.3544N
  0.210 |        STAND |    0.00 |    0.00 |   0.9000 |   0.0000 |   9.5648N |   2.3544N
  0.220 |        STAND |    0.00 |    0.00 |   0.9000 |   0.0000 |   9.5648N |   2.3544N
  0.230 |        STAND |    0.00 |    0.00 |   0.9000 |   0.0000 |   9.5648N |   2.3544N
  0.240 |        STAND |    0.00 |    0.00 |   0.9000 |   0.0000 |   9.5648N |   2.3544N
  0.250 |        STAND |    0.00 |    0.00 |   0.9000 |   0.0000 |   9.5648N |   2.3544N
  0.260 |        STAND |    0.00 |    0.00 |   0.9000 |   0.0000 |   9.5648N |   2.3544N
  0.270 |        STAND |    0.00 |    0.00 |   0.9000 |   0.0000 |   9.5648N |   2.3544N
  0.280 |        STAND |    0.00 |    0.00 |   0.9000 |   0.0000 |   9.5648N |   2.3544N
  0.290 |        STAND |    0.00 |    0.00 |   0.9000 |   0.0000 |   9.5648N |   2.3544N
  0.300 |        STAND |    0.00 |    0.00 |   0.9000 |   0.0000 |   9.5648N |   2.3544N
  0.310 |        STAND |    0.00 |    0.00 |   0.9000 |   0.0000 |   9.5648N |   2.3544N
  0.320 |        STAND |    0.00 |    0.00 |   0.9000 |   0.0000 |   9.5648N |   2.3544N
  0.330 |        STAND |    0.00 |    0.00 |   0.9000 |   0.0000 |   9.5648N |   2.3544N
  0.340 |        STAND |    0.00 |    0.00 |   0.9000 |   0.0000 |   9.5648N |   2.3544N
  0.350 |        STAND |    0.00 |    0.00 |   0.9000 |   0.0000 |   9.5648N |   2.3544N
  0.360 |        STAND |    0.00 |    0.00 |   0.9000 |   0.0000 |   9.5648N |   2.3544N
  0.370 |        STAND |    0.00 |    0.00 |   0.9000 |   0.0000 |   9.5648N |   2.3544N
  0.380 |        STAND |    0.00 |    0.00 |   0.9000 |   0.0000 |   9.5648N |   2.3544N
  0.390 |        STAND |    0.00 |    0.00 |   0.9000 |   0.0000 |   9.5648N |   2.3544N
  0.400 |        STAND |    0.00 |    0.00 |   0.9000 |   0.0000 |   9.5648N |   2.3544N
  0.410 |        STAND |    0.00 |    0.00 |   0.9000 |   0.0000 |   9.5648N |   2.3544N
  0.420 |        STAND |    0.00 |    0.00 |   0.9000 |   0.0000 |   9.5648N |   2.3544N
  0.430 |        STAND |    0.00 |    0.00 |   0.9000 |   0.0000 |   9.5648N |   2.3544N
  0.440 |        STAND |    0.00 |    0.00 |   0.9000 |   0.0000 |   9.5648N |   2.3544N
  0.450 |        STAND |    0.00 |    0.00 |   0.9000 |   0.0000 |   9.5648N |   2.3544N
  0.460 |        STAND |    0.00 |    0.00 |   0.9000 |   0.0000 |   9.5648N |   2.3544N
  0.470 |        STAND |    0.00 |    0.00 |   0.9000 |   0.0000 |   9.5648N |   2.3544N
  0.480 |        STAND |    0.00 |    0.00 |   0.9000 |   0.0000 |   9.5648N |   2.3544N
  0.490 |        STAND |    0.00 |    0.00 |   0.9000 |   0.0000 |   9.5648N |   2.3544N
  0.500 |        STAND |    0.00 |    0.00 |   0.9000 |   0.0000 |   9.5648N |   2.3544N
  0.510 |        STAND |    0.00 |    0.00 |   0.9000 |   0.0000 |   9.5648N |   2.3544N
  0.520 |        STAND |    0.00 |    0.00 |   0.9000 |   0.0000 |   9.5648N |   2.3544N
  0.530 |        STAND |    0.00 |    0.00 |   0.9000 |   0.0000 |   9.5648N |   2.3544N
  0.540 |        STAND |    0.00 |    0.00 |   0.9000 |   0.0000 |   9.5648N |   2.3544N
  0.550 |        STAND |    0.00 |    0.00 |   0.9000 |   0.0000 |   9.5648N |   2.3544N
  0.560 |        STAND |    0.00 |    0.00 |   0.9000 |   0.0000 |   9.5648N |   2.3544N
  0.570 |        STAND |    0.00 |    0.00 |   0.9000 |   0.0000 |   9.5648N |   2.3544N
  0.580 |        STAND |    0.00 |    0.00 |   0.9000 |   0.0000 |   9.5648N |   2.3544N
  0.590 |        STAND |    0.00 |    0.00 |   0.9000 |   0.0000 |   9.5648N |   2.3544N
  0.600 |        STAND |    0.00 |    0.00 |   0.9000 |   0.0000 |   9.5648N |   2.3544N
  0.610 |        STAND |    0.00 |    0.00 |   0.9000 |   0.0000 |   9.5648N |   2.3544N
  0.620 |        STAND |    0.00 |    0.00 |   0.9000 |   0.0000 |   9.5648N |   2.3544N
  0.630 |        STAND |    0.00 |    0.00 |   0.9000 |   0.0000 |   9.5648N |   2.3544N
  0.640 |        STAND |    0.00 |    0.00 |   0.9000 |   0.0000 |   9.5648N |   2.3544N
  0.650 |        STAND |    0.00 |    0.00 |   0.9000 |   0.0000 |   9.5648N |   2.3544N
  0.660 |        STAND |    0.00 |    0.00 |   0.9000 |   0.0000 |   9.5648N |   2.3544N
  0.670 |        STAND |    0.00 |    0.00 |   0.9000 |   0.0000 |   9.5648N |   2.3544N
  0.680 |        STAND |    0.00 |    0.00 |   0.9000 |   0.0000 |   9.5648N |   2.3544N
  0.690 |        STAND |    0.00 |    0.00 |   0.9000 |   0.0000 |   9.5648N |   2.3544N
  0.700 |        STAND |    0.00 |    0.00 |   0.9000 |   0.0000 |   9.5648N |   2.3544N
  0.710 |        STAND |    0.00 |    0.00 |   0.9000 |   0.0000 |   9.5648N |   2.3544N
  0.720 |        STAND |    0.00 |    0.00 |   0.9000 |   0.0000 |   9.5648N |   2.3544N
  0.730 |        STAND |    0.00 |    0.00 |   0.9000 |   0.0000 |   9.5648N |   2.3544N
  0.740 |        STAND |    0.00 |    0.00 |   0.9000 |   0.0000 |   9.5648N |   2.3544N
  0.750 |        STAND |    0.00 |    0.00 |   0.9000 |   0.0000 |   9.5648N |   2.3544N
  0.760 |        STAND |    0.00 |    0.00 |   0.9000 |   0.0000 |   9.5648N |   2.3544N
  0.770 |        STAND |    0.00 |    0.00 |   0.9000 |   0.0000 |   9.5648N |   2.3544N
  0.780 |        STAND |    0.00 |    0.00 |   0.9000 |   0.0000 |   9.5648N |   2.3544N
  0.790 |        STAND |    0.00 |    0.00 |   0.9000 |   0.0000 |   9.5648N |   2.3544N
  0.800 |        STAND |    0.00 |    0.00 |   0.9000 |   0.0000 |   9.5648N |   2.3544N
