TASK 2 - PHASE 5: LOAD DISTRIBUTION LOG
Torque utilization and safety margins at each joint
==========================================================================================

SEQUENCE: Step Cycle
   Time |   Hip° |  Knee° |  HipLoad |  Hip% |   KnLoad |   Kn% | Dominant |   Danger
-------------------------------------------------------------------------------------
  0.010 |   0.00 |   0.00 |  9.5648N | 79.7% |  2.3544N | 27.7% |      HIP |  WARNING
  0.020 |   0.00 |   0.00 |  9.5648N | 79.7% |  2.3544N | 27.7% |      HIP |  WARNING
  0.030 |   0.00 |   0.00 |  9.5648N | 79.7% |  2.3544N | 27.7% |      HIP |  WARNING
  0.040 |   0.00 |   0.00 |  9.5648N | 79.7% |  2.3544N | 27.7% |      HIP |  WARNING
  0.050 |   0.00 |   0.00 |  9.5648N | 79.7% |  2.3544N | 27.7% |      HIP |  WARNING
  0.060 |   0.00 |   0.00 |  9.5648N | 79.7% |  2.3544N | 27.7% |      HIP |  WARNING
  0.070 |   0.00 |   0.00 |  9.5648N | 79.7% |  2.3544N | 27.7% |      HIP |  WARNING
  0.080 |   0.00 |   0.00 |  9.5648N | 79.7% |  2.3544N | 27.7% |      HIP |  WARNING
  0.090 |   0.00 |   0.00 |  9.5648N | 79.7% |  2.3544N | 27.7% |      HIP |  WARNING
  0.100 |   0.00 |   0.00 |  9.5648N | 79.7% |  2.3544N | 27.7% |      HIP |  WARNING
  0.110 |   0.00 |   0.00 |  9.5648N | 79.7% |  2.3544N | 27.7% |      HIP |  WARNING
  0.120 |   0.00 |   0.00 |  9.5648N | 79.7% |  2.3544N | 27.7% |      HIP |  WARNING
  0.130 |   0.00 |   0.00 |  9.5648N | 79.7% |  2.3544N | 27.7% |      HIP |  WARNING
  0.140 |   0.00 |   0.00 |  9.5648N | 79.7% |  2.3544N | 27.7% |      HIP |  WARNING
  0.150 |   0.00 |   0.00 |  9.5648N | 79.7% |  2.3544N | 27.7% |      HIP |  WARNING
  0.160 |   0.00 |   0.00 |  9.5648N | 79.7% |  2.3544N | 27.7% |      HIP |  WARNING
  0.170 |   0.00 |   0.00 |  9.5648N | 79.7% |  2.3544N | 27.7% |      HIP |  WARNING
  0.180 |   0.00 |   0.00 |  9.5648N | 79.7% |  2.3544N | 27.7% |      HIP |  WARNING
  0.190 |   0.00 |   0.00 |  9.5648N | 79.7% |  2.3544N | 27.7% |      HIP |  WARNING
  0.200 |   0.00 |   0.00 |  9.5648N | 79.7% |  2.3544N | 27.7% |      HIP |  WARNING
  0.210 |   0.00 |   0.00 |  9.5648N | 79.7% |  2.3544N | 27.7% |      HIP |  WARNING
  0.220 |   0.00 |   0.00 |  9.5648N | 79.7% |  2.3544N | 27.7% |      HIP |  WARNING
  0.230 |   0.00 |   0.00 |  9.5648N | 79.7% |  2.3544N | 27.7% |      HIP |  WARNING
  0.240 |   0.00 |   0.00 |  9.5648N | 79.7% |  2.3544N | 27.7% |      HIP |  WARNING
  0.250 |   0.00 |   0.00 |  9.5648N | 79.7% |  2.3544N | 27.7% |      HIP |  WARNING
  0.260 |   0.00 |   0.00 |  9.5648N | 79.7% |  2.3544N | 27.7% |      HIP |  WARNING
  0.270 |   0.00 |   0.00 |  9.5648N | 79.7% |  2.3544N | 27.7% |      HIP |  WARNING
  0.280 |   0.00 |   0.00 |  9.5648N | 79.7% |  2.3544N | 27.7% |      HIP |  WARNING
  0.290 |   0.00 |   0.00 |  9.5648N | 79.7% |  2.3544N | 27.7% |      HIP |  WARNING
  0.300 |   0.00 |   0.00 |  9.5648N | 79.7% |  2.3544N | 27.7% |      HIP |  WARNING
  0.310 |   0.00 |   0.00 |  9.5648N | 79.7% |  2.3544N | 27.7% |      HIP |  WARNING
  0.320 |   0.00 |   0.00 |  9.5648N | 79.7% |  2.3544N | 27.7% |      HIP |  WARNING
  0.330 |   0.00 |   0.00 |  9.5648N | 79.7% |  2.3544N | 27.7% |      HIP |  WARNING
  0.340 |   0.00 |   0.00 |  9.5648N | 79.7% |  2.3544N | 27.7% |      HIP |  WARNING
  0.350 |   0.00 |   0.00 |  9.5648N | 79.7% |  2.3544N | 27.7% |      HIP |  WARNING
  0.360 |   0.00 |   0.00 |  9.5648N | 79.7% |  2.3544N | 27.7% |      HIP |  WARNING
  0.370 |   0.00 |   0.00 |  9.5648N | 79.7% |  2.3544N | 27.7% |      HIP |  WARNING
  0.380 |   0.00 |   0.00 |  9.5648N | 79.7% |  2.3544N | 27.7% |      HIP |  WARNING
  0.390 |   0.00 |   0.00 |  9.5648N | 79.7% |  2.3544N | 27.7% |      HIP |  WARNING
  0.400 |   0.00 |   0.00 |  9.5648N | 79.7% |  2.3544N | 27.7% |      HIP |  WARNING
  0.410 |   0.00 |   0.00 |  9.5648N | 79.7% |  2.3544N | 27.7% |      HIP |  WARNING
