TASK 2 - PHASE 6: FAILURE PROPAGATION LOG
System-level failure simulation across hip + knee
=====================================================================================

SCENARIO: Healthy
   Time |     Hip |    Knee |   FootX |   FootY |   Temp |         HipFail |     KneeFail
-------------------------------------------------------------------------------------
  0.010 |    0.00 |    0.00 |  0.9000 |  0.0000 |  25.0C |              OK |           OK
  0.020 |    0.00 |    0.00 |  0.9000 |  0.0000 |  25.0C |              OK |           OK
  0.030 |    0.00 |    0.00 |  0.9000 |  0.0000 |  25.0C |              OK |           OK
  0.040 |    0.00 |    0.00 |  0.9000 |  0.0000 |  25.0C |              OK |           OK
  0.050 |    0.00 |    0.00 |  0.9000 |  0.0000 |  25.0C |              OK |           OK
  0.060 |    0.00 |    0.00 |  0.9000 |  0.0000 |  25.0C |              OK |           OK
  0.070 |    0.00 |    0.00 |  0.9000 |  0.0000 |  25.0C |              OK |           OK
  0.080 |    0.00 |    0.00 |  0.9000 |  0.0000 |  25.0C |              OK |           OK
  0.090 |    0.00 |    0.00 |  0.9000 |  0.0000 |  25.0C |              OK |           OK
  0.100 |    0.00 |    0.00 |  0.9000 |  0.0000 |  25.0C |              OK |           OK
  0.110 |    0.00 |    0.00 |  0.9000 |  0.0000 |  25.0C |              OK |           OK
  0.120 |    0.00 |    0.00 |  0.9000 |  0.0000 |  25.0C |              OK |           OK
  0.130 |    0.00 |    0.00 |  0.9000 |  0.0000 |  25.0C |              OK |           OK
  0.140 |    0.00 |    0.00 |  0.9000 |  0.0000 |  25.0C |              OK |           OK
  0.150 |    0.00 |    0.00 |  0.9000 |  0.0000 |  25.0C |              OK |           OK
  0.160 |    0.00 |    0.00 |  0.9000 |  0.0000 |  25.0C |              OK |           OK
  0.170 |    0.00 |    0.00 |  0.9000 |  0.0000 |  25.0C |              OK |           OK
  0.180 |    0.00 |    0.00 |  0.9000 |  0.0000 |  25.0C |              OK |           OK
  0.190 |    0.00 |    0.00 |  0.9000 |  0.0000 |  25.0C |              OK |           OK
  0.200 |    0.00 |    0.00 |  0.9000 |  0.0000 |  25.0C |              OK |           OK
  0.210 |    0.00 |    0.00 |  0.9000 |  0.0000 |  25.0C |              OK |           OK
  0.220 |    0.00 |    0.00 |  0.9000 |  0.0000 |  25.0C |              OK |           OK
  0.230 |    0.00 |    0.00 |  0.9000 |  0.0000 |  25.0C |              OK |           OK
  0.240 |    0.00 |    0.00 |  0.9000 |  0.0000 |  25.0C |              OK |           OK
  0.250 |    0.00 |    0.00 |  0.9000 |  0.0000 |  25.0C |              OK |           OK
  0.260 |    0.00 |    0.00 |  0.9000 |  0.0000 |  25.0C |              OK |           OK
  0.270 |    0.00 |    0.00 |  0.9000 |  0.0000 |  25.0C |              OK |           OK
  0.280 |    0.00 |    0.00 |  0.9000 |  0.0000 |  25.0C |              OK |           OK
  0.290 |    0.00 |    0.00 |  0.9000 |  0.0000 |  25.0C |              OK |           OK
  0.300 |    0.00 |    0.00 |  0.9000 |  0.0000 |  25.0C |              OK |           OK
  0.310 |    0.00 |    0.00 |  0.9000 |  0.0000 |  25.0C |              OK |           OK
  0.320 |    0.00 |    0.00 |  0.9000 |  0.0000 |  25.0C |              OK |           OK
  0.330 |    0.00 |    0.00 |  0.9000 |  0.0000 |  25.0C |              OK |           OK
  0.340 |    0.00 |    0.00 |  0.9000 |  0.0000 |  25.0C |              OK |           OK
  0.350 |    0.00 |    0.00 |  0.9000 |  0.0000 |  25.0C |              OK |           OK
  0.360 |    0.00 |    0.00 |  0.9000 |  0.0000 |  25.0C |              OK |           OK
  0.370 |    0.00 |    0.00 |  0.9000 |  0.0000 |  25.0C |              OK |           OK
  0.380 |    0.00 |    0.00 |  0.9000 |  0.0000 |  25.0C |              OK |           OK
  0.390 |    0.00 |    0.00 |  0.9000 |  0.0000 |  25.0C |              OK |           OK
  0.400 |    0.00 |    0.00 |  0.9000 |  0.0000 |  25.0C |              OK |           OK
  0.410 |    0.00 |    0.00 |  0.9000 |  0.0000 |  25.0C |              OK |           OK
  0.420 |    0.00 |    0.00 |  0.9000 |  0.0000 |  25.0C |              OK |           OK
  0.430 |    0.00 |    0.00 |  0.9000 |  0.0000 |  25.0C |              OK |           OK
  0.440 |    0.00 |    0.00 |  0.9000 |  0.0000 |  25.0C |              OK |           OK
  0.450 |    0.00 |    0.00 |  0.9000 |  0.0000 |  25.0C |              OK |           OK
  0.460 |    0.00 |    0.00 |  0.9000 |  0.0000 |  25.0C |              OK |           OK
  0.470 |    0.00 |    0.00 |  0.9000 |  0.0000 |  25.0C |              OK |           OK
  0.480 |    0.00 |    0.00 |  0.9000 |  0.0000 |  25.0C |              OK |           OK
  0.490 |    0.00 |    0.00 |  0.9000 |  0.0000 |  25.0C |              OK |           OK
  0.500 |    0.00 |    0.00 |  0.9000 |  0.0000 |  25.0C |              OK |           OK
  0.510 |    0.00 |    0.00 |  0.9000 |  0.0000 |  25.0C |              OK |           OK
  0.520 |    0.00 |    0.00 |  0.9000 |  0.0000 |  25.0C |              OK |           OK
  0.530 |    0.00 |    0.00 |  0.9000 |  0.0000 |  25.0C |              OK |           OK
  0.540 |    0.00 |    0.00 |  0.9000 |  0.0000 |  25.0C |              OK |           OK
  0.550 |    0.00 |    0.00 |  0.9000 |  0.0000 |  25.0C |              OK |           OK
  0.560 |    0.00 |    0.00 |  0.9000 |  0.0000 |  25.0C |              OK |           OK
  0.570 |    0.00 |    0.00 |  0.9000 |  0.0000 |  25.0C |              OK |           OK
  0.580 |    0.00 |    0.00 |  0.9000 |  0.0000 |  25.0C |              OK |           OK
  0.590 |    0.00 |    0.00 |  0.9000 |  0.0000 |  25.0C |              OK |           OK
  0.600 |    0.00 |    0.00 |  0.9000 |  0.0000 |  25.0C |              OK |           OK
  0.610 |    0.00 |    0.00 |  0.9000 |  0.0000 |  25.0C |              OK |           OK
  0.620 |    0.00 |    0.00 |  0.9000 |  0.0000 |  25.0C |              OK |           OK
  0.630 |    0.00 |    0.00 |  0.9000 |  0.0000 |  25.0C |              OK |           OK
  0.640 |    0.00 |    0.00 |  0.9000 |  0.0000 |  25.0C |              OK |           OK
  0.650 |    0.00 |    0.00 |  0.9000 |  0.0000 |  25.0C |              OK |           OK
  0.660 |    0.00 |    0.00 |  0.9000 |  0.0000 |  25.0C |              OK |           OK
  0.670 |    0.00 |    0.00 |  0.9000 |  0.0000 |  25.0C |              OK |           OK
  0.680 |    0.00 |    0.00 |  0.9000 |  0.0000 |  25.0C |              OK |           OK
  0.690 |    0.00 |    0.00 |  0.9000 |  0.0000 |  25.0C |              OK |           OK
