TASK 3 - PHASE 2: CRAWL GAIT COORDINATION LOG
Sequence: FL -> RR -> FR -> RL
==========================================================================================

   Time | Active |  Phase |  FL_hip |  FR_hip |  RL_hip |  RR_hip | FL_phase | RR_phase
------------------------------------------------------------------------------------------
  0.010 |     FL |  SWING |   -9.88 |  -10.00 |  -10.00 |  -10.00 |    SWING |   STANCE
  0.020 |     FL |  SWING |   -9.75 |  -10.00 |  -10.00 |  -10.00 |    SWING |   STANCE
  0.030 |     FL |  SWING |   -9.62 |  -10.00 |  -10.00 |  -10.00 |    SWING |   STANCE
  0.040 |     FL |  SWING |   -9.50 |  -10.00 |  -10.00 |  -10.00 |    SWING |   STANCE
  0.050 |     FL |  SWING |   -9.38 |  -10.00 |  -10.00 |  -10.00 |    SWING |   STANCE
  0.060 |     FL |  SWING |   -9.25 |  -10.00 |  -10.00 |  -10.00 |    SWING |   STANCE
  0.070 |     FL |  SWING |   -9.12 |  -10.00 |  -10.00 |  -10.00 |    SWING |   STANCE
  0.080 |     FL |  SWING |   -9.00 |  -10.00 |  -10.00 |  -10.00 |    SWING |   STANCE
  0.090 |     FL |  SWING |   -8.88 |  -10.00 |  -10.00 |  -10.00 |    SWING |   STANCE
  0.100 |     FL |  SWING |   -8.75 |  -10.00 |  -10.00 |  -10.00 |    SWING |   STANCE
  0.110 |     FL |  SWING |   -8.62 |  -10.00 |  -10.00 |  -10.00 |    SWING |   STANCE
  0.120 |     FL |  SWING |   -8.50 |  -10.00 |  -10.00 |  -10.00 |    SWING |   STANCE
  0.130 |     FL |  SWING |   -8.38 |  -10.00 |  -10.00 |  -10.00 |    SWING |   STANCE
  0.140 |     FL |  SWING |   -8.25 |  -10.00 |  -10.00 |  -10.00 |    SWING |   STANCE
  0.150 |     FL |  SWING |   -8.12 |  -10.00 |  -10.00 |  -10.00 |    SWING |   STANCE
  0.160 |     FL |  SWING |   -8.00 |  -10.00 |  -10.00 |  -10.00 |    SWING |   STANCE
  0.170 |     FL |  SWING |   -7.88 |  -10.00 |  -10.00 |  -10.00 |    SWING |   STANCE
  0.180 |     FL |  SWING |   -7.75 |  -10.00 |  -10.00 |  -10.00 |    SWING |   STANCE
  0.190 |     FL |  SWING |   -7.62 |  -10.00 |  -10.00 |  -10.00 |    SWING |   STANCE
  0.200 |     FL |  SWING |   -7.50 |  -10.00 |  -10.00 |  -10.00 |    SWING |   STANCE
