TASK 3 - PHASE 3: FULL SYSTEM LOAD DISTRIBUTION LOG
Load per leg dynamically computed during crawl gait
===============================================================================================

   Time | Active |  Phase |  FL_load |  FR_load |  RL_load |  RR_load | MaxLeg |    Total
-----------------------------------------------------------------------------------------------
  0.010 |     FL |  SWING |   11.738 |   28.088 |   28.120 |   28.088 |     RL |   96.034
  0.020 |     FL |  SWING |   11.738 |   28.088 |   28.120 |   28.088 |     RL |   96.034
  0.030 |     FL |  SWING |   11.738 |   28.088 |   28.120 |   28.088 |     RL |   96.034
  0.040 |     FL |  SWING |   11.738 |   28.088 |   28.120 |   28.088 |     RL |   96.034
  0.050 |     FL |  SWING |   11.738 |   28.088 |   28.120 |   28.088 |     RL |   96.034
  0.060 |     FL |  SWING |   11.738 |   28.088 |   28.120 |   28.088 |     RL |   96.034
  0.070 |     FL |  SWING |   11.738 |   28.088 |   28.120 |   28.088 |     RL |   96.034
  0.080 |     FL |  SWING |   11.738 |   28.088 |   28.120 |   28.088 |     RL |   96.034
  0.090 |     FL |  SWING |   11.738 |   28.088 |   28.120 |   28.088 |     RL |   96.034
  0.100 |     FL |  SWING |   11.738 |   28.088 |   28.120 |   28.088 |     RL |   96.034
  0.110 |     FL |  SWING |   11.738 |   28.088 |   28.120 |   28.088 |     RL |   96.034
  0.120 |     FL |  SWING |   11.738 |   28.088 |   28.120 |   28.088 |     RL |   96.034
  0.130 |     FL |  SWING |   11.738 |   28.088 |   28.120 |   28.088 |     RL |   96.034
  0.140 |     FL |  SWING |   11.738 |   28.088 |   28.120 |   28.088 |     RL |   96.034
  0.150 |     FL |  SWING |   11.738 |   28.088 |   28.120 |   28.088 |     RL |   96.034
  0.160 |     FL |  SWING |   11.738 |   28.088 |   28.120 |   28.088 |     RL |   96.034
  0.170 |     FL |  SWING |   11.738 |   28.088 |   28.120 |   28.088 |     RL |   96.034
  0.180 |     FL |  SWING |   11.738 |   28.088 |   28.120 |   28.088 |     RL |   96.034
