TASK 3 - PHASE 4: STABILITY + FOOT TRACKING LOG
Support polygon and CoM stability analysis
==========================================================================================

   Time | Active |  Phase |  Legs |     Area |   Margin |      State
----------------------------------------------------------------------
  0.010 |     FL |  SWING |     3 |  0.12000 |  -0.0418 |   UNSTABLE
  0.020 |     FL |  SWING |     3 |  0.12000 |  -0.0418 |   UNSTABLE
  0.030 |     FL |  SWING |     3 |  0.12000 |  -0.0418 |   UNSTABLE
  0.040 |     FL |  SWING |     3 |  0.12000 |  -0.0418 |   UNSTABLE
  0.050 |     FL |  SWING |     3 |  0.12000 |  -0.0418 |   UNSTABLE
  0.060 |     FL |  SWING |     3 |  0.12000 |  -0.0418 |   UNSTABLE
  0.070 |     FL |  SWING |     3 |  0.12000 |  -0.0418 |   UNSTABLE
  0.080 |     FL |  SWING |     3 |  0.12000 |  -0.0418 |   UNSTABLE
  0.090 |     FL |  SWING |     3 |  0.12000 |  -0.0418 |   UNSTABLE
  0.100 |     FL |  SWING |     3 |  0.12000 |  -0.0418 |   UNSTABLE
  0.110 |     FL |  SWING |     3 |  0.12000 |  -0.0418 |   UNSTABLE
  0.120 |     FL |  SWING |     3 |  0.12000 |  -0.0418 |   UNSTABLE
  0.130 |     FL |  SWING |     3 |  0.12000 |  -0.0418 |   UNSTABLE
  0.140 |     FL |  SWING |     3 |  0.12000 |  -0.0418 |   UNSTABLE
  0.150 |     FL |  SWING |     3 |  0.12000 |  -0.0418 |   UNSTABLE
  0.160 |     FL |  SWING |     3 |  0.12000 |  -0.0418 |   UNSTABLE
  0.170 |     FL |  SWING |     3 |  0.12000 |  -0.0418 |   UNSTABLE
  0.180 |     FL |  SWING |     3 |  0.12000 |  -0.0418 |   UNSTABLE
  0.190 |     FL |  SWING |     3 |  0.12000 |  -0.0418 |   UNSTABLE
  0.200 |     FL |  SWING |     3 |  0.12000 |  -0.0418 |   UNSTABLE
  0.210 |     FL |  SWING |     3 |  0.12000 |  -0.0418 |   UNSTABLE
  0.220 |     FL |  SWING |     3 |  0.12000 |  -0.0418 |   UNSTABLE
  0.230 |     FL |  SWING |     3 |  0.12000 |  -0.0418 |   UNSTABLE
  0.240 |     FL |  SWING |     3 |  0.12000 |  -0.0418 |   UNSTABLE
  0.250 |     FL |  SWING |     3 |  0.12000 |  -0.0418 |   UNSTABLE
  0.260 |     FL |  SWING |     3 |  0.12000 |  -0.0418 |   UNSTABLE
  0.270 |     FL |  SWING |     3 |  0.12000 |  -0.0418 |   UNSTABLE
  0.280 |     FL |  SWING |     3 |  0.12000 |  -0.0418 |   UNSTABLE
  0.290 |     FL |  SWING |     3 |  0.12000 |  -0.0418 |   UNSTABLE
  0.300 |     FL |  SWING |     3 |  0.12000 |  -0.0418 |   UNSTABLE
  0.310 |     FL |  SWING |     3 |  0.12000 |  -0.0418 |   UNSTABLE
  0.320 |     FL |  SWING |     3 |  0.12000 |  -0.0418 |   UNSTABLE
  0.330 |     FL |  SWING |     3 |  0.12000 |  -0.0418 |   UNSTABLE
  0.340 |     FL |  SWING |     3 |  0.12000 |  -0.0418 |   UNSTABLE
  0.350 |     FL |  SWING |     3 |  0.12000 |  -0.0418 |   UNSTABLE
  0.360 |     FL |  SWING |     3 |  0.12000 |  -0.0418 |   UNSTABLE
  0.370 |     FL |  SWING |     3 |  0.12000 |  -0.0418 |   UNSTABLE
  0.380 |     FL |  SWING |     3 |  0.12000 |  -0.0418 |   UNSTABLE
  0.390 |     FL |  SWING |     3 |  0.12000 |  -0.0418 |   UNSTABLE
  0.400 |     FL |  SWING |     3 |  0.12000 |  -0.0418 |   UNSTABLE
  0.410 |     FL |  SWING |     3 |  0.12000 |  -0.0418 |   UNSTABLE
  0.420 |     FL |  SWING |     3 |  0.12000 |  -0.0418 |   UNSTABLE
  0.430 |     FL |  SWING |     3 |  0.12000 |  -0.0418 |   UNSTABLE
  0.440 |     FL |  SWING |     3 |  0.12000 |  -0.0418 |   UNSTABLE
  0.450 |     FL |  SWING |     3 |  0.12000 |  -0.0418 |   UNSTABLE
  0.460 |     FL |  SWING |     3 |  0.12000 |  -0.0418 |   UNSTABLE
  0.470 |     FL |  SWING |     3 |  0.12000 |  -0.0418 |   UNSTABLE
  0.480 |     FL |  SWING |     3 |  0.12000 |  -0.0418 |   UNSTABLE
  0.490 |     FL |  SWING |     3 |  0.12000 |  -0.0418 |   UNSTABLE
  0.500 |     FL |  SWING |     3 |  0.12000 |  -0.0418 |   UNSTABLE
  0.510 |     FL |  SWING |     3 |  0.12000 |  -0.0418 |   UNSTABLE
  0.520 |     FL |  SWING |     3 |  0.12000 |  -0.0418 |   UNSTABLE
  0.530 |     FL |  SWING |     3 |  0.12000 |  -0.0418 |   UNSTABLE
  0.540 |     FL |  SWING |     3 |  0.12000 |  -0.0418 |   UNSTABLE
  0.550 |     FL |  SWING |     3 |  0.12000 |  -0.0418 |   UNSTABLE
  0.560 |     FL |  SWING |     3 |  0.12000 |  -0.0418 |   UNSTABLE
  0.570 |     FL |  SWING |     3 |  0.12000 |  -0.0418 |   UNSTABLE
  0.580 |     FL |  SWING |     3 |  0.12000 |  -0.0418 |   UNSTABLE
  0.590 |     FL |  SWING |     3 |  0.12000 |  -0.0418 |   UNSTABLE
  0.600 |     FL |  SWING |     3 |  0.12000 |  -0.0418 |   UNSTABLE
  0.610 |     FL |  SWING |     3 |  0.12000 |  -0.0418 |   UNSTABLE
  0.620 |     FL |  SWING |     3 |  0.12000 |  -0.0418 |   UNSTABLE
  0.630 |     FL |  SWING |     3 |  0.12000 |  -0.0418 |   UNSTABLE
  0.640 |     FL |  SWING |     3 |  0.12000 |  -0.0418 |   UNSTABLE
  0.650 |     FL |  SWING |     3 |  0.12000 |  -0.0418 |   UNSTABLE
  0.660 |     FL |  SWING |     3 |  0.12000 |  -0.0418 |   UNSTABLE
  0.670 |     FL |  SWING |     3 |  0.12000 |  -0.0418 |   UNSTABLE
  0.680 |     FL |  SWING |     3 |  0.12000 |  -0.0418 |   UNSTABLE
  0.690 |     FL |  SWING |     3 |  0.12000 |  -0.0418 |   UNSTABLE
  0.700 |     FL |  SWING |     3 |  0.12000 |  -0.0418 |   UNSTABLE
  0.710 |     FL |  SWING |     3 |  0.12000 |  -0.0418 |   UNSTABLE
  0.720 |     FL |  SWING |     3 |  0.12000 |  -0.0418 |   UNSTABLE
  0.730 |     FL |  SWING |     3 |  0.12000 |  -0.0418 |   UNSTABLE
  0.740 |     FL |  SWING |     3 |  0.12000 |  -0.0418 |   UNSTABLE
  0.750 |     FL |  SWING |     3 |  0.12000 |  -0.0418 |   UNSTABLE
  0.760 |     FL |  SWING |     3 |  0.12000 |  -0.0418 |   UNSTABLE
  0.770 |     FL |  SWING |     3 |  0.12000 |  -0.0418 |   UNSTABLE
  0.780 |     FL |  SWING |     3 |  0.12000 |  -0.0418 |   UNSTABLE
  0.790 |     FL |  SWING |     3 |  0.12000 |  -0.0418 |   UNSTABLE
  0.800 |     FL |  SWING |     3 |  0.12000 |  -0.0418 |   UNSTABLE
  0.810 |     FL |  SWING |     3 |  0.12000 |  -0.0418 |   UNSTABLE
  0.820 |     FL |  SWING |     3 |  0.12000 |  -0.0418 |   UNSTABLE
  0.830 |     FL |  SWING |     3 |  0.12000 |  -0.0418 |   UNSTABLE
  0.840 |     FL |  SWING |     3 |  0.12000 |  -0.0418 |   UNSTABLE
  0.850 |     FL |  SWING |     3 |  0.12000 |  -0.0418 |   UNSTABLE
  0.860 |     FL |  SWING |     3 |  0.12000 |  -0.0418 |   UNSTABLE
  0.870 |     FL |  SWING |     3 |  0.12000 |  -0.0418 |   UNSTABLE
  0.880 |     FL |  SWING |     3 |  0.12000 |  -0.0418 |   UNSTABLE
