TASK 3 - PHASE 5: FAILURE PROPAGATION LOG
System-level failure across full quadruped
==========================================================================================

SCENARIO: Healthy
   Time | Active |   FL_ld |   FR_ld |   RL_ld |   RR_ld |  Stability | Failed
---------------------------------------------------------------------------
  0.010 |     FL |   11.74 |   28.09 |   28.09 |   28.09 |   UNSTABLE |    NO
  0.020 |     FL |   11.74 |   28.09 |   28.09 |   28.09 |   UNSTABLE |    NO
  0.030 |     FL |   11.74 |   28.09 |   28.09 |   28.09 |   UNSTABLE |    NO
  0.040 |     FL |   11.75 |   28.09 |   28.09 |   28.09 |   UNSTABLE |    NO
  0.050 |     FL |   11.75 |   28.09 |   28.09 |   28.09 |   UNSTABLE |    NO
  0.060 |     FL |   11.75 |   28.09 |   28.09 |   28.09 |   UNSTABLE |    NO
  0.070 |     FL |   11.75 |   28.09 |   28.09 |   28.09 |   UNSTABLE |    NO
  0.080 |     FL |   11.75 |   28.09 |   28.09 |   28.09 |   UNSTABLE |    NO
  0.090 |     FL |   11.76 |   28.09 |   28.09 |   28.09 |   UNSTABLE |    NO
  0.100 |     FL |   11.76 |   28.09 |   28.09 |   28.09 |   UNSTABLE |    NO
  0.110 |     FL |   11.76 |   28.09 |   28.09 |   28.09 |   UNSTABLE |    NO
  0.120 |     FL |   11.76 |   28.09 |   28.09 |   28.09 |   UNSTABLE |    NO
  0.130 |     FL |   11.76 |   28.09 |   28.09 |   28.09 |   UNSTABLE |    NO
  0.140 |     FL |   11.76 |   28.09 |   28.09 |   28.09 |   UNSTABLE |    NO
  0.150 |     FL |   11.77 |   28.09 |   28.09 |   28.09 |   UNSTABLE |    NO
  0.160 |     FL |   11.77 |   28.09 |   28.09 |   28.09 |   UNSTABLE |    NO
  0.170 |     FL |   11.77 |   28.09 |   28.09 |   28.09 |   UNSTABLE |    NO
  0.180 |     FL |   11.77 |   28.09 |   28.09 |   28.09 |   UNSTABLE |    NO
  0.190 |     FL |   11.77 |   28.09 |   28.09 |   28.09 |   UNSTABLE |    NO
  0.200 |     FL |   11.77 |   28.09 |   28.09 |   28.09 |   UNSTABLE |    NO
  0.210 |     FL |   11.77 |   28.09 |   28.09 |   28.09 |   UNSTABLE |    NO
  0.220 |     FL |   11.77 |   28.09 |   28.09 |   28.09 |   UNSTABLE |    NO
  0.230 |     FL |   11.77 |   28.09 |   28.09 |   28.09 |   UNSTABLE |    NO
  0.240 |     FL |   11.77 |   28.09 |   28.09 |   28.09 |   UNSTABLE |    NO
  0.250 |     FL |   11.78 |   28.09 |   28.09 |   28.09 |   UNSTABLE |    NO
  0.260 |     FL |   11.78 |   28.09 |   28.09 |   28.09 |   UNSTABLE |    NO
  0.270 |     FL |   11.78 |   28.09 |   28.09 |   28.09 |   UNSTABLE |    NO
  0.280 |     FL |   11.78 |   28.09 |   28.09 |   28.09 |   UNSTABLE |    NO
  0.290 |     FL |   11.78 |   28.09 |   28.09 |   28.09 |   UNSTABLE |    NO
  0.300 |     FL |   11.78 |   28.09 |   28.09 |   28.09 |   UNSTABLE |    NO
  0.310 |     FL |   11.78 |   28.09 |   28.09 |   28.09 |   UNSTABLE |    NO
  0.320 |     FL |   11.78 |   28.09 |   28.09 |   28.09 |   UNSTABLE |    NO
  0.330 |     FL |   11.78 |   28.09 |   28.09 |   28.09 |   UNSTABLE |    NO
  0.340 |     FL |   11.78 |   28.09 |   28.09 |   28.09 |   UNSTABLE |    NO
  0.350 |     FL |   11.78 |   28.09 |   28.09 |   28.09 |   UNSTABLE |    NO
  0.360 |     FL |   11.78 |   28.09 |   28.09 |   28.09 |   UNSTABLE |    NO
  0.370 |     FL |   11.78 |   28.09 |   28.09 |   28.09 |   UNSTABLE |    NO
  0.380 |     FL |   11.78 |   28.09 |   28.09 |   28.09 |   UNSTABLE |    NO
  0.390 |     FL |   11.78 |   28.09 |   28.09 |   28.09 |   UNSTABLE |    NO
  0.400 |     FL |   11.78 |   28.09 |   28.09 |   28.09 |   UNSTABLE |    NO
  0.410 |     FL |   11.78 |   28.09 |   28.09 |   28.09 |   UNSTABLE |    NO
  0.420 |     FL |   11.78 |   28.09 |   28.09 |   28.09 |   UNSTABLE |    NO
  0.430 |     FL |   11.78 |   28.09 |   28.09 |   28.09 |   UNSTABLE |    NO
  0.440 |     FL |   11.78 |   28.09 |   28.09 |   28.09 |   UNSTABLE |    NO
  0.450 |     FL |   11.77 |   28.09 |   28.09 |   28.09 |   UNSTABLE |    NO
  0.460 |     FL |   11.77 |   28.09 |   28.09 |   28.09 |   UNSTABLE |    NO
  0.470 |     FL |   11.77 |   28.09 |   28.09 |   28.09 |   UNSTABLE |    NO
  0.480 |     FL |   11.77 |   28.09 |   28.09 |   28.09 |   UNSTABLE |    NO
  0.490 |     FL |   11.77 |   28.09 |   28.09 |   28.09 |   UNSTABLE |    NO
  0.500 |     FL |   11.77 |   28.09 |   28.09 |   28.09 |   UNSTABLE |    NO
  0.510 |     FL |   11.77 |   28.09 |   28.09 |   28.09 |   UNSTABLE |    NO
  0.520 |     FL |   11.77 |   28.09 |   28.09 |   28.09 |   UNSTABLE |    NO
  0.530 |     FL |   11.77 |   28.09 |   28.09 |   28.09 |   UNSTABLE |    NO
  0.540 |     FL |   11.77 |   28.09 |   28.09 |   28.09 |   UNSTABLE |    NO
  0.550 |     FL |   11.76 |   28.09 |   28.09 |   28.09 |   UNSTABLE |    NO
  0.560 |     FL |   11.76 |   28.09 |   28.09 |   28.09 |   UNSTABLE |    NO
  0.570 |     FL |   11.76 |   28.09 |   28.09 |   28.09 |   UNSTABLE |    NO
  0.580 |     FL |   11.76 |   28.09 |   28.09 |   28.09 |   UNSTABLE |    NO
  0.590 |     FL |   11.76 |   28.09 |   28.09 |   28.09 |   UNSTABLE |    NO
  0.600 |     FL |   11.76 |   28.09 |   28.09 |   28.09 |   UNSTABLE |    NO
  0.610 |     FL |   11.75 |   28.09 |   28.09 |   28.09 |   UNSTABLE |    NO
  0.620 |     FL |   11.75 |   28.09 |   28.09 |   28.09 |   UNSTABLE |    NO
  0.630 |     FL |   11.75 |   28.09 |   28.09 |   28.09 |   UNSTABLE |    NO
  0.640 |     FL |   11.75 |   28.09 |   28.09 |   28.09 |   UNSTABLE |    NO
  0.650 |     FL |   11.75 |   28.09 |   28.09 |   28.09 |   UNSTABLE |    NO
  0.660 |     FL |   11.75 |   28.09 |   28.09 |   28.09 |   UNSTABLE |    NO
  0.670 |     FL |   11.74 |   28.09 |   28.09 |   28.09 |   UNSTABLE |    NO
  0.680 |     FL |   11.74 |   28.09 |   28.09 |   28.09 |   UNSTABLE |    NO
  0.690 |     FL |   11.74 |   28.09 |   28.09 |   28.09 |   UNSTABLE |    NO
  0.700 |     FL |   11.74 |   28.09 |   28.09 |   28.09 |   UNSTABLE |    NO
  0.710 |     FL |   11.73 |   28.09 |   28.09 |   28.09 |   UNSTABLE |    NO
  0.720 |     FL |   11.73 |   28.09 |   28.09 |   28.09 |   UNSTABLE |    NO
  0.730 |     FL |   11.73 |   28.09 |   28.09 |   28.09 |   UNSTABLE |    NO
  0.740 |     FL |   11.73 |   28.09 |   28.09 |   28.09 |   UNSTABLE |    NO
  0.750 |     FL |   11.72 |   28.09 |   28.09 |   28.09 |   UNSTABLE |    NO
  0.760 |     FL |   11.72 |   28.09 |   28.09 |   28.09 |   UNSTABLE |    NO
  0.770 |     FL |   11.72 |   28.09 |   28.09 |   28.09 |   UNSTABLE |    NO
  0.780 |     FL |   11.71 |   28.09 |   28.09 |   28.09 |   UNSTABLE |    NO
  0.790 |     FL |   11.71 |   28.09 |   28.09 |   28.09 |   UNSTABLE |    NO
  0.800 |     FL |   11.71 |   28.09 |   28.09 |   28.09 |   UNSTABLE |    NO
  0.810 |     FL |   11.71 |   28.09 |   28.09 |   28.09 |   UNSTABLE |    NO
  0.820 |     FL |   11.70 |   28.09 |   28.09 |   28.09 |   UNSTABLE |    NO
  0.830 |     FL |   11.70 |   28.09 |   28.09 |   28.09 |   UNSTABLE |    NO
  0.840 |     FL |   11.70 |   28.09 |   28.09 |   28.09 |   UNSTABLE |    NO
  0.850 |     FL |   11.69 |   28.09 |   28.09 |   28.09 |   UNSTABLE |    NO
  0.860 |     FL |   11.69 |   28.09 |   28.09 |   28.09 |   UNSTABLE |    NO
  0.870 |     FL |   11.69 |   28.09 |   28.09 |   28.09 |   UNSTABLE |    NO
  0.880 |     FL |   11.68 |   28.09 |   28.09 |   28.09 |   UNSTABLE |    NO
  0.890 |     FL |   11.68 |   28.09 |   28.09 |   28.09 |   UNSTABLE |    NO
  0.900 |     FL |   11.68 |   28.09 |   28.09 |   28.09 |   UNSTABLE |    NO
  0.910 |     FL |   11.67 |   28.09 |   28.09 |   28.09 |   UNSTABLE |    NO
  0.920 |     FL |   11.67 |   28.09 |   28.09 |   28.09 |   UNSTABLE |    NO
  0.930 |     FL |   11.66 |   28.09 |   28.09 |   28.09 |   UNSTABLE |    NO
  0.940 |     FL |   11.66 |   28.09 |   28.09 |   28.09 |   UNSTABLE |    NO
  0.950 |     FL |   11.66 |   28.09 |   28.09 |   28.09 |   UNSTABLE |    NO
  0.960 |     FL |   11.65 |   28.09 |   28.09 |   28.09 |   UNSTABLE |    NO
  0.970 |     FL |   11.65 |   28.09 |   28.09 |   28.09 |   UNSTABLE |    NO
  0.980 |     FL |   11.64 |   28.09 |   28.09 |   28.09 |   UNSTABLE |    NO
  0.990 |     FL |   11.64 |   28.09 |   28.09 |   28.09 |   UNSTABLE |    NO
  1.000 |     FL |   11.63 |   28.09 |   28.09 |   28.09 |   UNSTABLE |    NO
  1.010 |     FL |   11.63 |   28.09 |   28.09 |   28.09 |   UNSTABLE |    NO
  1.020 |     FL |   11.63 |   28.09 |   28.09 |   28.09 |   UNSTABLE |    NO
  1.030 |     FL |   11.62 |   28.09 |   28.09 |   28.09 |   UNSTABLE |    NO
  1.040 |     FL |   11.62 |   28.09 |   28.09 |   28.09 |   UNSTABLE |    NO
  1.050 |     FL |   11.61 |   28.09 |   28.09 |   28.09 |   UNSTABLE |    NO
  1.060 |     FL |   11.61 |   28.09 |   28.09 |   28.09 |   UNSTABLE |    NO
  1.070 |     FL |   11.60 |   28.09 |   28.09 |   28.09 |   UNSTABLE |    NO
  1.080 |     FL |   11.60 |   28.09 |   28.09 |   28.09 |   UNSTABLE |    NO
  1.090 |     FL |   11.59 |   28.09 |   28.09 |   28.09 |   UNSTABLE |    NO
