TASK 3 - PHASE 6: CONTROL INTERFACE TELEMETRY
Structured output for Rajaryan (Control) + Dhruv (Data)
===============================================================================================

   Time | Active |  Phase |    State | Progress |  FL_hip |  FR_hip |  RL_hip |  RR_hip |   Failures
-----------------------------------------------------------------------------------------------
  0.010 |     FL |  SWING | UNSTABLE |    0.001 |   -9.88 |  -10.00 |  -10.00 |  -10.00 |       none
  0.020 |     FL |  SWING | UNSTABLE |    0.001 |   -9.75 |  -10.00 |  -10.00 |  -10.00 |       none
  0.030 |     FL |  SWING | UNSTABLE |    0.002 |   -9.62 |  -10.00 |  -10.00 |  -10.00 |       none
  0.040 |     FL |  SWING | UNSTABLE |    0.003 |   -9.50 |  -10.00 |  -10.00 |  -10.00 |       none
  0.050 |     FL |  SWING | UNSTABLE |    0.004 |   -9.38 |  -10.00 |  -10.00 |  -10.00 |       none
  0.060 |     FL |  SWING | UNSTABLE |    0.004 |   -9.25 |  -10.00 |  -10.00 |  -10.00 |       none
  0.070 |     FL |  SWING | UNSTABLE |    0.005 |   -9.12 |  -10.00 |  -10.00 |  -10.00 |       none
  0.080 |     FL |  SWING | UNSTABLE |    0.006 |   -9.00 |  -10.00 |  -10.00 |  -10.00 |       none
  0.090 |     FL |  SWING | UNSTABLE |    0.006 |   -8.88 |  -10.00 |  -10.00 |  -10.00 |       none
  0.100 |     FL |  SWING | UNSTABLE |    0.007 |   -8.75 |  -10.00 |  -10.00 |  -10.00 |       none
  0.110 |     FL |  SWING | UNSTABLE |    0.008 |   -8.62 |  -10.00 |  -10.00 |  -10.00 |       none
  0.120 |     FL |  SWING | UNSTABLE |    0.009 |   -8.50 |  -10.00 |  -10.00 |  -10.00 |       none
  0.130 |     FL |  SWING | UNSTABLE |    0.009 |   -8.38 |  -10.00 |  -10.00 |  -10.00 |       none
  0.140 |     FL |  SWING | UNSTABLE |    0.010 |   -8.25 |  -10.00 |  -10.00 |  -10.00 |       none
  0.150 |     FL |  SWING | UNSTABLE |    0.011 |   -8.12 |  -10.00 |  -10.00 |  -10.00 |       none
  0.160 |     FL |  SWING | UNSTABLE |    0.011 |   -8.00 |  -10.00 |  -10.00 |  -10.00 |       none
  0.170 |     FL |  SWING | UNSTABLE |    0.012 |   -7.88 |  -10.00 |  -10.00 |  -10.00 |       none
  0.180 |     FL |  SWING | UNSTABLE |    0.013 |   -7.75 |  -10.00 |  -10.00 |  -10.00 |       none
  0.190 |     FL |  SWING | UNSTABLE |    0.014 |   -7.62 |  -10.00 |  -10.00 |  -10.00 |       none
  0.200 |     FL |  SWING | UNSTABLE |    0.014 |   -7.50 |  -10.00 |  -10.00 |  -10.00 |       none
  0.210 |     FL |  SWING | UNSTABLE |    0.015 |   -7.38 |  -10.00 |  -10.00 |  -10.00 |       none
  0.220 |     FL |  SWING | UNSTABLE |    0.016 |   -7.25 |  -10.00 |  -10.00 |  -10.00 |       none
  0.230 |     FL |  SWING | UNSTABLE |    0.016 |   -7.12 |  -10.00 |  -10.00 |  -10.00 |       none
  0.240 |     FL |  SWING | UNSTABLE |    0.017 |   -7.00 |  -10.00 |  -10.00 |  -10.00 |       none
  0.250 |     FL |  SWING | UNSTABLE |    0.018 |   -6.88 |  -10.00 |  -10.00 |  -10.00 |       none
  0.260 |     FL |  SWING | UNSTABLE |    0.019 |   -6.75 |  -10.00 |  -10.00 |  -10.00 |       none
  0.270 |     FL |  SWING | UNSTABLE |    0.019 |   -6.62 |  -10.00 |  -10.00 |  -10.00 |       none
  0.280 |     FL |  SWING | UNSTABLE |    0.020 |   -6.50 |  -10.00 |  -10.00 |  -10.00 |       none
  0.290 |     FL |  SWING | UNSTABLE |    0.021 |   -6.38 |  -10.00 |  -10.00 |  -10.00 |       none
  0.300 |     FL |  SWING | UNSTABLE |    0.021 |   -6.25 |  -10.00 |  -10.00 |  -10.00 |       none
  0.310 |     FL |  SWING | UNSTABLE |    0.022 |   -6.12 |  -10.00 |  -10.00 |  -10.00 |       none
  0.320 |     FL |  SWING | UNSTABLE |    0.023 |   -6.00 |  -10.00 |  -10.00 |  -10.00 |       none
  0.330 |     FL |  SWING | UNSTABLE |    0.024 |   -5.88 |  -10.00 |  -10.00 |  -10.00 |       none
  0.340 |     FL |  SWING | UNSTABLE |    0.024 |   -5.75 |  -10.00 |  -10.00 |  -10.00 |       none
  0.350 |     FL |  SWING | UNSTABLE |    0.025 |   -5.62 |  -10.00 |  -10.00 |  -10.00 |       none
  0.360 |     FL |  SWING | UNSTABLE |    0.026 |   -5.50 |  -10.00 |  -10.00 |  -10.00 |       none
  0.370 |     FL |  SWING | UNSTABLE |    0.026 |   -5.38 |  -10.00 |  -10.00 |  -10.00 |       none
  0.380 |     FL |  SWING | UNSTABLE |    0.027 |   -5.25 |  -10.00 |  -10.00 |  -10.00 |       none
  0.390 |     FL |  SWING | UNSTABLE |    0.028 |   -5.12 |  -10.00 |  -10.00 |  -10.00 |       none
  0.400 |     FL |  SWING | UNSTABLE |    0.029 |   -5.00 |  -10.00 |  -10.00 |  -10.00 |       none
  0.410 |     FL |  SWING | UNSTABLE |    0.029 |   -4.88 |  -10.00 |  -10.00 |  -10.00 |       none
  0.420 |     FL |  SWING | UNSTABLE |    0.030 |   -4.75 |  -10.00 |  -10.00 |  -10.00 |       none
  0.430 |     FL |  SWING | UNSTABLE |    0.031 |   -4.62 |  -10.00 |  -10.00 |  -10.00 |       none
  0.440 |     FL |  SWING | UNSTABLE |    0.031 |   -4.50 |  -10.00 |  -10.00 |  -10.00 |       none
  0.450 |     FL |  SWING | UNSTABLE |    0.032 |   -4.38 |  -10.00 |  -10.00 |  -10.00 |       none
  0.460 |     FL |  SWING | UNSTABLE |    0.033 |   -4.25 |  -10.00 |  -10.00 |  -10.00 |       none
  0.470 |     FL |  SWING | UNSTABLE |    0.034 |   -4.12 |  -10.00 |  -10.00 |  -10.00 |       none
  0.480 |     FL |  SWING | UNSTABLE |    0.034 |   -4.00 |  -10.00 |  -10.00 |  -10.00 |       none
  0.490 |     FL |  SWING | UNSTABLE |    0.035 |   -3.88 |  -10.00 |  -10.00 |  -10.00 |       none
  0.500 |     FL |  SWING | UNSTABLE |    0.036 |   -3.75 |  -10.00 |  -10.00 |  -10.00 |       none
  0.510 |     FL |  SWING | UNSTABLE |    0.036 |   -3.62 |  -10.00 |  -10.00 |  -10.00 |       none
  0.520 |     FL |  SWING | UNSTABLE |    0.037 |   -3.50 |  -10.00 |  -10.00 |  -10.00 |       none
  0.530 |     FL |  SWING | UNSTABLE |    0.038 |   -3.38 |  -10.00 |  -10.00 |  -10.00 |       none
  0.540 |     FL |  SWING | UNSTABLE |    0.039 |   -3.25 |  -10.00 |  -10.00 |  -10.00 |       none
  0.550 |     FL |  SWING | UNSTABLE |    0.039 |   -3.12 |  -10.00 |  -10.00 |  -10.00 |       none
