time,hip_FL,hip_FR,hip_RL,hip_RR,knee_FL,knee_FR,knee_RL,knee_RR,foot_FL_x,foot_FL_y,foot_FR_x,foot_FR_y,foot_RL_x,foot_RL_y,foot_RR_x,foot_RR_y,load_FL,load_FR,load_RL,load_RR,system_state,active_leg,gait_phase,gait_progress,polygon_area,com_margin,failure_FL,failure_FR,failure_RL,failure_RR,any_failure
0.01,-9.875,-10.0,-10.0,-10.0,10.18,10.0,10.0,10.0,0.6926,0.2164,1.0924,0.2132,0.6924,-0.3868,1.0924,-0.3868,11.7403,28.088,28.088,28.088,UNSTABLE,FL,SWING,0.0007142857142857143,0.12,-0.041824,False,False,False,False,False
0.02,-9.75,-10.0,-10.0,-10.0,10.36,10.0,10.0,10.0,0.6928,0.2196,1.0924,0.2132,0.6924,-0.3868,1.0924,-0.3868,11.7426,28.088,28.088,28.088,UNSTABLE,FL,SWING,0.0014285714285714286,0.12,-0.041824,False,False,False,False,False
0.03,-9.625,-10.0,-10.0,-10.0,10.54,10.0,10.0,10.0,0.6929,0.2228,1.0924,0.2132,0.6924,-0.3868,1.0924,-0.3868,11.7448,28.088,28.088,28.088,UNSTABLE,FL,SWING,0.002142857142857143,0.12,-0.041824,False,False,False,False,False
0.04,-9.5,-10.0,-10.0,-10.0,10.72,10.0,10.0,10.0,0.693,0.226,1.0924,0.2132,0.6924,-0.3868,1.0924,-0.3868,11.7469,28.088,28.088,28.088,UNSTABLE,FL,SWING,0.002857142857142857,0.12,-0.041824,False,False,False,False,False
0.05,-9.375,-10.0,-10.0,-10.0,10.9,10.0,10.0,10.0,0.6932,0.2292,1.0924,0.2132,0.6924,-0.3868,1.0924,-0.3868,11.7489,28.088,28.088,28.088,UNSTABLE,FL,SWING,0.0035714285714285713,0.12,-0.041824,False,False,False,False,False
0.06,-9.25,-10.0,-10.0,-10.0,11.08,10.0,10.0,10.0,0.6933,0.2324,1.0924,0.2132,0.6924,-0.3868,1.0924,-0.3868,11.7509,28.088,28.088,28.088,UNSTABLE,FL,SWING,0.004285714285714286,0.12,-0.041824,False,False,False,False,False
0.07,-9.125,-10.0,-10.0,-10.0,11.26,10.0,10.0,10.0,0.6934,0.2356,1.0924,0.2132,0.6924,-0.3868,1.0924,-0.3868,11.7528,28.088,28.088,28.088,UNSTABLE,FL,SWING,0.005,0.12,-0.041824,False,False,False,False,False
0.08,-9.0,-10.0,-10.0,-10.0,11.44,10.0,10.0,10.0,0.6934,0.2388,1.0924,0.2132,0.6924,-0.3868,1.0924,-0.3868,11.7546,28.088,28.088,28.088,UNSTABLE,FL,SWING,0.005714285714285714,0.12,-0.041824,False,False,False,False,False
0.09,-8.875,-10.0,-10.0,-10.0,11.62,10.0,10.0,10.0,0.6935,0.2421,1.0924,0.2132,0.6924,-0.3868,1.0924,-0.3868,11.7563,28.088,28.088,28.088,UNSTABLE,FL,SWING,0.0064285714285714285,0.12,-0.041824,False,False,False,False,False
0.1,-8.75,-10.0,-10.0,-10.0,11.8,10.0,10.0,10.0,0.6936,0.2452,1.0924,0.2132,0.6924,-0.3868,1.0924,-0.3868,11.758,28.088,28.088,28.088,UNSTABLE,FL,SWING,0.007142857142857143,0.12,-0.041824,False,False,False,False,False
